Date,Team,Notes,Player,Injury Class
2015-03-07,Heat,returned to lineup,Mario Chalmers,returned to lineup
2015-03-07,Knicks,lower back spasms (DTD),Louis Amundson,DTD
2015-03-07,Suns,sprained right ankle (DTD),Alex Len,DTD
2015-03-08,Clippers,returned to lineup,Matt Barnes,returned to lineup
2015-03-08,Pistons,groin injury (DTD),Joel Anthony,DTD
2015-03-09,Heat,wrist injury (DTD),Udonis Haslem,DTD
2015-03-09,Heat,returned to lineup,Hassan Whiteside,returned to lineup
2015-03-09,Heat,returned to lineup,Luol Deng,returned to lineup
2015-03-09,Knicks,sore left knee (DTD),Quincy Acy,DTD
2015-03-09,Knicks,lower back spasms (DTD),Tim Hardaway,DTD
2015-03-09,Knicks,returned to lineup,Louis Amundson,returned to lineup
2015-03-09,Suns,returned to lineup,Alex Len,returned to lineup
2015-03-10,Jazz,strained lower back (DTD),Gordon Hayward,DTD
2015-03-10,Magic,returned to lineup,Luke Ridnour,returned to lineup
2015-03-10,Magic,returned to lineup,Nikola Vucevic,returned to lineup
2015-03-10,Magic,returned to lineup,Willie Green,returned to lineup
2015-03-10,Pelicans,ankle injury (DTD),Tyreke Evans,DTD
2015-03-11,Bucks,sore right ankle (DTD),Jerryd Bayless,DTD
2015-03-11,Bucks,returned to lineup,Ovinton Mayo,returned to lineup
2015-03-11,Bulls,left knee injury (DTD),Joakim Noah,DTD
2015-03-11,Hawks,returned to lineup,Pero Antic,returned to lineup
2015-03-11,Heat,returned to lineup,Goran Dragic,returned to lineup
2015-03-11,Heat,returned to lineup,Udonis Haslem,returned to lineup
2015-03-11,Magic,lower back spasms (DTD),Willie Green,DTD
2015-03-11,Nets,bruised lower back (DTD),Alan Anderson,DTD
2015-03-12,Bucks,hamstring injury / rest (DTD),Ovinton Mayo,DTD
2015-03-12,Grizzlies,rest (DTD),Marc Gasol,DTD
2015-03-12,Grizzlies,ankle injury (DTD),Mike Conley,DTD
2015-03-12,Grizzlies,rest (DTD),Zach Randolph,DTD
2015-03-12,Jazz,returned to lineup,Gordon Hayward,returned to lineup
2015-03-12,Knicks,returned to lineup,Tim Hardaway,returned to lineup
2015-03-12,Nets,"surgery on right knee to repair torn MCL, dislocated patella (out for season) (date approximate)",Sergey Karasev,out for season
2015-03-12,Wizards,hamstring injury (DTD),Garrett Temple,DTD
2015-03-13,76ers,rest (DTD),Jason Richardson,DTD
2015-03-13,Blazers,oral surgery (DTD),Alonzo Gee,DTD
2015-03-13,Bulls,returned to lineup,Joakim Noah,returned to lineup
2015-03-13,Kings,back spasms (DTD),Ryan Hollins,DTD
2015-03-13,Nuggets,knee injury (DTD),Darrell Arthur,DTD
2015-03-13,Nuggets,illness (DTD),Ty Lawson,DTD
2015-03-13,Nuggets,returned to lineup,Jusuf Nurkic,returned to lineup
2015-03-13,Pistons,returned to lineup,Joel Anthony,returned to lineup
2015-03-13,Timberwolves,sore left knee (out for season),Kevin Garnett,out for season
2015-03-13,Timberwolves,sprained right ankle (out for season),Nikola Pekovic,out for season
2015-03-13,Warriors,rest (DTD),Andre Iguodala,DTD
2015-03-13,Warriors,rest (DTD),Klay Thompson,DTD
2015-03-13,Warriors,rest (DTD),Stephen Curry,DTD
2015-03-13,Warriors,shoulder injury (DTD),Ognjen Kuzmic,DTD
2015-03-14,76ers,bruised ribs (DTD),Furkan Aldemir,DTD
2015-03-14,76ers,rest (DTD),Luc Moute,DTD
2015-03-14,76ers,returned to lineup,Jason Richardson,returned to lineup
2015-03-14,Bucks,knee injury (DTD),Jared Dudley,DTD
2015-03-14,Bucks,ankle injury (DTD),Michael Carter-Williams,DTD
2015-03-14,Bucks,returned to lineup,Ovinton Mayo,returned to lineup
2015-03-14,Grizzlies,back injury (DTD),Jon Leuer,DTD
2015-03-14,Grizzlies,returned to lineup,Marc Gasol,returned to lineup
2015-03-14,Grizzlies,returned to lineup,Zach Randolph,returned to lineup
2015-03-14,Kings,strained patellar tendon in left knee (DTD),Rudy Gay,DTD
2015-03-14,Knicks,returned to lineup,Quincy Acy,returned to lineup
2015-03-14,Nets,returned to lineup,Alan Anderson,returned to lineup
2015-03-14,Suns,sprained right ankle (DTD),Alex Len,DTD
2015-03-14,Warriors,returned to lineup,Andre Iguodala,returned to lineup
2015-03-14,Warriors,returned to lineup,Klay Thompson,returned to lineup
2015-03-14,Warriors,returned to lineup,Stephen Curry,returned to lineup
2015-03-15,Blazers,returned to lineup,Alonzo Gee,returned to lineup
2015-03-15,Hawks,rest (DTD),DeMarre Carroll,DTD
2015-03-15,Hawks,rest (DTD),Jeff Teague,DTD
2015-03-15,Hawks,rest (DTD),Paul Millsap,DTD
2015-03-15,Nuggets,knee injury (DTD),Wilson Chandler,DTD
2015-03-15,Nuggets,returned to lineup,Ty Lawson,returned to lineup
2015-03-15,Pelicans,returned to lineup,Tyreke Evans,returned to lineup
2015-03-15,Timberwolves,hand injury / illness (DTD),Gary Neal,DTD
2015-03-15,Timberwolves,sore right ankle (DTD),Ricky Rubio,DTD
2015-03-16,76ers,returned to lineup,Luc Moute,returned to lineup
2015-03-16,Hawks,rest (DTD),Al Horford,DTD
2015-03-16,Hawks,fractured nose (DTD),Kyle Korver,DTD
2015-03-16,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015-03-16,Hawks,returned to lineup,Jeff Teague,returned to lineup
2015-03-16,Hawks,returned to lineup,Paul Millsap,returned to lineup
2015-03-16,Nuggets,rest (DTD),Danilo Gallinari,DTD
2015-03-16,Nuggets,rest (DTD),Kenneth Faried,DTD
2015-03-16,Nuggets,rest (DTD),Ty Lawson,DTD
2015-03-16,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2015-03-16,Nuggets,returned to lineup,Wilson Chandler,returned to lineup
2015-03-16,Spurs,rib injury (DTD),Aron Baynes,DTD
2015-03-16,Spurs,sprained right ankle (DTD),Emanuel Ginobili,DTD
2015-03-17,Bucks,back spasms (P) (DTD),Jared Dudley,DTD
2015-03-17,Bucks,sore right hamstring (DTD),Ovinton Mayo,DTD
2015-03-17,Bucks,returned to lineup,Jerryd Bayless,returned to lineup
2015-03-17,Bucks,returned to lineup,Michael Carter-Williams,returned to lineup
2015-03-17,Clippers,sore right hamstring (DTD),Matt Barnes,DTD
2015-03-17,Knicks,sprained left ankle (DTD),Cleanthony Early,DTD
2015-03-17,Knicks,sprained right wrist (DTD),Tim Hardaway,DTD
2015-03-17,Rockets,hamstring injury (DTD),Jason Terry,DTD
2015-03-17,Thunder,arthroscopic surgery on right knee (out indefinitely),Serge Ibaka,out indefinitely
2015-03-18,76ers,returned to lineup,Furkan Aldemir,returned to lineup
2015-03-18,Hawks,returned to lineup,Al Horford,returned to lineup
2015-03-18,Kings,strained right calf (DTD),DeMarcus Cousins,DTD
2015-03-18,Kings,returned to lineup,Rudy Gay,returned to lineup
2015-03-18,Kings,returned to lineup,Ryan Hollins,returned to lineup
2015-03-18,Magic,sprained left ankle (DTD),Dewayne Dedmon,DTD
2015-03-18,Magic,sprained left ankle (DTD),Tobias Harris,DTD
2015-03-18,Timberwolves,migraine headache (DTD),Justin Hamilton,DTD
2015-03-18,Timberwolves,returned to lineup,Ricky Rubio,returned to lineup
2015-03-18,Warriors,returned to lineup,Ognjen Kuzmic,returned to lineup
2015-03-19,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015-03-19,Nuggets,returned to lineup,Kenneth Faried,returned to lineup
2015-03-19,Nuggets,returned to lineup,Ty Lawson,returned to lineup
2015-03-19,Pelicans,sprained left ankle (DTD),Anthony Davis,DTD
2015-03-19,Suns,sprained right big toe (DTD),Marcus Thornton,DTD
2015-03-19,Timberwolves,sore right ankle (DTD),Gary Neal,DTD
2015-03-19,Timberwolves,sore right ankle (DTD),Ricky Rubio,DTD
2015-03-20,76ers,bruised ribs (DTD),Thomas Robinson,DTD
2015-03-20,Clippers,returned to lineup,Matt Barnes,returned to lineup
2015-03-20,Nuggets,hip injury (DTD),Jameer Nelson,DTD
2015-03-20,Pelicans,strained right calf (DTD),Omer Asik,DTD
2015-03-20,Rockets,partially collapsed lung (DTD),Terrence Jones,DTD
2015-03-20,Thunder,sprained left ankle (DTD),Enes Kanter,DTD
2015-03-21,Blazers,strained right shoulder (DTD),Chris Kaman,DTD
2015-03-21,Grizzlies,returned to lineup,Jon Leuer,returned to lineup
2015-03-21,Lakers,retired (effective at the end of the season),Steve Nash,Other
2015-03-21,Mavericks,sprained left ankle (DTD),Jose Barea,DTD
2015-03-21,Pistons,illness (DTD),Shawne Williams,DTD
2015-03-21,Rockets,returned to lineup,Jason Terry,returned to lineup
2015-03-21,Suns,returned to lineup,Alex Len,returned to lineup
2015-03-21,Thunder,sprained left ankle (DTD),Nick Collison,DTD
2015-03-21,Timberwolves,returned to lineup,Gary Neal,returned to lineup
2015-03-22,76ers,returned to lineup,Thomas Robinson,returned to lineup
2015-03-22,Magic,illness (DTD),Channing Frye,DTD
2015-03-22,Magic,returned to lineup,Willie Green,returned to lineup
2015-03-22,Nuggets,stomach flu (DTD),Randy Foye,DTD
2015-03-22,Nuggets,returned to lineup,Jameer Nelson,returned to lineup
2015-03-22,Pelicans,sprained left ankle (DTD),Tyreke Evans,DTD
2015-03-22,Pelicans,returned to lineup,Anthony Davis,returned to lineup
2015-03-22,Thunder,returned to lineup,Enes Kanter,returned to lineup
2015-03-23,Knicks,fractured rib (out for season),Alexey Shved,out for season
2015-03-23,Knicks,sore lower back (out for season),Travis Wear,out for season
2015-03-23,Timberwolves,sprained left ankle (out for season),Gary Neal,out for season
2015-03-23,Timberwolves,strained left hamstring (DTD),Kevin Martin,DTD
2015-03-24,76ers,rest (DTD),Jason Richardson,DTD
2015-03-24,Blazers,left finger injury (DTD),LaMarcus Aldridge,DTD
2015-03-24,Blazers,lower back injury (DTD),Nicolas Batum,DTD
2015-03-24,Bucks,returned to lineup,Ovinton Mayo,returned to lineup
2015-03-24,Heat,illness (DTD),Tyler Johnson,DTD
2015-03-24,Pistons,returned to lineup,Shawne Williams,returned to lineup
2015-03-24,Thunder,sprained left ankle (DTD),Andre Roberson,DTD
2015-03-25,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015-03-25,76ers,returned to lineup,Jason Richardson,returned to lineup
2015-03-25,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015-03-25,Celtics,returned to lineup,Isaiah Thomas,returned to lineup
2015-03-25,Heat,bruised left calf (DTD),Chris Andersen,DTD
2015-03-25,Heat,hand injury (DTD),Hassan Whiteside,DTD
2015-03-25,Heat,returned to lineup,Tyler Johnson,returned to lineup
2015-03-25,Knicks,returned to lineup,Cleanthony Early,returned to lineup
2015-03-25,Magic,returned to lineup,Channing Frye,returned to lineup
2015-03-25,Magic,returned to lineup,Dewayne Dedmon,returned to lineup
2015-03-25,Magic,returned to lineup,Tobias Harris,returned to lineup
2015-03-25,Nuggets,calf injury (out for season),Darrell Arthur,out for season
2015-03-25,Nuggets,returned to lineup,Randy Foye,returned to lineup
2015-03-25,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015-03-25,Pelicans,returned to lineup,Tyreke Evans,returned to lineup
2015-03-25,Timberwolves,returned to lineup,Justin Hamilton,returned to lineup
2015-03-25,Wizards,sprained left ankle (DTD),Toure' Murry,DTD
2015-03-26,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015-03-26,Pacers,allergic reaction / illness (DTD),David West,DTD
2015-03-26,Wizards,returned to lineup,Toure' Murry,returned to lineup
2015-03-27,76ers,returned to lineup,Luc Moute,returned to lineup
2015-03-27,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015-03-27,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015-03-27,Hawks,stiff neck (DTD),Pero Antic,DTD
2015-03-27,Lakers,illness / upper respiratory infection (DTD),Carlos Boozer,DTD
2015-03-27,Magic,sore left ankle (DTD),Dewayne Dedmon,DTD
2015-03-27,Nets,strained left knee (DTD),Thaddeus Young,DTD
2015-03-27,Rockets,sore lower back (out for season),Donatas Motiejunas,out for season
2015-03-27,Clippers,returned to lineup,Nate Robinson,returned to lineup
2015-03-28,Bulls,returned to lineup,Cameron Bairstow,returned to lineup
2015-03-28,Hawks,rest (DTD),Al Horford,DTD
2015-03-28,Hawks,rest (DTD),DeMarre Carroll,DTD
2015-03-28,Hawks,rest (DTD),Kyle Korver,DTD
2015-03-28,Hawks,rest (DTD),Paul Millsap,DTD
2015-03-28,Hawks,returned to lineup,Pero Antic,returned to lineup
2015-03-28,Jazz,back spasms (DTD),Derrick Favors,DTD
2015-03-28,Mavericks,right calf injury (DTD),Monta Ellis,DTD
2015-03-28,Nuggets,shoulder injury (DTD),Danilo Gallinari,DTD
2015-03-29,76ers,left knee injury (DTD),Jason Richardson,DTD
2015-03-29,Grizzlies,strained left hamstring (DTD),Tony Allen,DTD
2015-03-29,Heat,hip injury / sports hernia (out for season),Shabazz Napier,out for season
2015-03-29,Lakers,illness / upper respiratory infection (DTD),Jeremy Lin,DTD
2015-03-29,Pacers,returned to lineup,David West,returned to lineup
2015-03-29,Suns,returned to lineup,Brandon Knight,returned to lineup
2015-03-30,76ers,illness / upper respiratory infection (DTD),Jerami Grant,DTD
2015-03-30,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015-03-30,Bucks,sore back (DTD),Jared Dudley,DTD
2015-03-30,Hawks,returned to lineup,Al Horford,returned to lineup
2015-03-30,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015-03-30,Hawks,returned to lineup,Kyle Korver,returned to lineup
2015-03-30,Hawks,returned to lineup,Paul Millsap,returned to lineup
2015-03-30,Kings,rest (DTD),DeMarcus Cousins,DTD
2015-03-30,Rockets,rest / sore right knee (DTD),Dwight Howard,DTD
2015-03-30,Timberwolves,concussion (out for season),Gorgui Dieng,out for season
2015-03-31,Heat,bruised right knee (DTD),Luol Deng,DTD
2015-03-31,Heat,illness (DTD),Udonis Haslem,DTD
2015-03-31,Heat,returned to lineup,Chris Andersen,returned to lineup
2015-03-31,Nets,returned to lineup,Thaddeus Young,returned to lineup
2015-03-31,Rockets,surgery on left wrist to repair torn ligaments (out for season),Patrick Beverley,out for season
2015-03-31,Thunder,surgery on right foot to install bone graft (out for season),Kevin Durant,out for season
2015-04-01,76ers,returned to lineup,Jason Richardson,returned to lineup
2015-04-01,76ers,returned to lineup,Jerami Grant,returned to lineup
2015-04-01,76ers,returned to lineup,Luc Moute,returned to lineup
2015-04-01,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015-04-01,Heat,surgery to repair sports hernia (out for season),Shabazz Napier,out for season
2015-04-01,Jazz,concussion (DTD),Rodney Hood,DTD
2015-04-01,Jazz,returned to lineup,Derrick Favors,returned to lineup
2015-04-01,Kings,concussion (DTD),Rudy Gay,DTD
2015-04-01,Kings,returned to lineup,DeMarcus Cousins,returned to lineup
2015-04-01,Lakers,returned to lineup,Carlos Boozer,returned to lineup
2015-04-01,Lakers,returned to lineup,Jeremy Lin,returned to lineup
2015-04-01,Magic,returned to lineup,Dewayne Dedmon,returned to lineup
2015-04-01,Nuggets,knee injury (DTD),James Hickson,DTD
2015-04-01,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015-04-01,Pelicans,returned to lineup,Ryan Anderson,returned to lineup
2015-04-01,Pistons,sprained left ankle (out for season),Spencer Dinwiddie,out for season
2015-04-01,Lakers,returned to lineup,Steve Nash,returned to lineup
2015-04-02,Blazers,fractured left hand (out for season),Dorell Wright,out for season
2015-04-02,Heat,returned to lineup,Luol Deng,returned to lineup
2015-04-02,Lakers,separated right shoulder (DTD),Wayne Ellington,DTD
2015-04-02,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015-04-02,Suns,fractured nose (out for season),Alex Len,out for season
2015-04-03,76ers,sprained right foot (out for season),Isaiah Canaan,out for season
2015-04-03,Knicks,returned to lineup,Tim Hardaway,returned to lineup
2015-04-03,Nuggets,returned to lineup,James Hickson,returned to lineup
2015-04-03,Timberwolves,sprained right ankle (DTD),Anthony Bennett,DTD
2015-04-03,Timberwolves,returned to lineup,Kevin Martin,returned to lineup
2015-04-04,76ers,sprained left ankle (DTD),Thomas Robinson,DTD
2015-04-04,Heat,returned to lineup,Udonis Haslem,returned to lineup
2015-04-04,Hornets,sore right knee (out for season),Al Jefferson,out for season
2015-04-04,Jazz,tightness in back (DTD),Trey Burke,DTD
2015-04-04,Jazz,returned to lineup,Rodney Hood,returned to lineup
2015-04-04,Mavericks,right knee injury (DTD),Chandler Parsons,DTD
2015-04-04,Nets,sprained left ankle (DTD),Alan Anderson,DTD
2015-04-04,Nuggets,undisclosed (DTD),Danilo Gallinari,DTD
2015-04-04,Nuggets,bruised right forearm (P) / hip flexor injury (DTD),Ty Lawson,DTD
2015-04-04,Raptors,sprained right ankle (DTD),Amir Johnson,DTD
2015-04-04,Suns,sprained left ankle (DTD),Brandon Knight,DTD
2015-04-05,76ers,sore left shoulder (DTD),Luc Moute,DTD
2015-04-05,Heat,bruised left foot (DTD),Chris Andersen,DTD
2015-04-05,Heat,lacerated right hand (DTD),Hassan Whiteside,DTD
2015-04-05,Knicks,sprained left ankle (DTD),Cleanthony Early,DTD
2015-04-06,Blazers,sprained right thumb (DTD),Chris Kaman,DTD
2015-04-06,Blazers,sprained left thumb (DTD),LaMarcus Aldridge,DTD
2015-04-06,Blazers,sprained lower back (DTD),Nicolas Batum,DTD
2015-04-07,Heat,knee injury / illness (P) (DTD),Michael Beasley,DTD
2015-04-07,Heat,returned to lineup,Chris Andersen,returned to lineup
2015-04-07,Heat,returned to lineup,Hassan Whiteside,returned to lineup
2015-04-07,Suns,returned to lineup,Marcus Thornton,returned to lineup
2015-04-07,Thunder,returned to lineup,Andre Roberson,returned to lineup
2015-04-07,Suns,fractured nose (out for season),Alex Len,out for season
2015-04-08,76ers,returned to lineup,Luc Moute,returned to lineup
2015-04-08,76ers,returned to lineup,Thomas Robinson,returned to lineup
2015-04-08,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015-04-08,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015-04-08,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015-04-08,Bucks,undisclosed (DTD),Giannis Antetokounmpo,DTD
2015-04-08,Hawks,"fractured fibula, ligament damage in leg (out for season)",Thabo Sefolosha,out for season
2015-04-08,Hornets,sprained right toe (out for season),Lance Stephenson,out for season
2015-04-08,Jazz,returned to lineup,Trey Burke,returned to lineup
2015-04-08,Kings,back injury (DTD),Nik Stauskas,DTD
2015-04-08,Kings,concussion (out for season),Rudy Gay,out for season
2015-04-08,Lakers,sore left knee (out for season),Jeremy Lin,out for season
2015-04-08,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2015-04-08,Nuggets,returned to lineup,Ty Lawson,returned to lineup
2015-04-08,Timberwolves,surgery on right Achilles (out for season),Nikola Pekovic,out for season
2015-04-08,Nuggets,strained right calf (out for season),Darrell Arthur,out for season
2015-04-08,Pacers,sore right elbow (DTD),Charles Watson,DTD
2015-04-09,Heat,elbow injury (DTD),Henry Walker,DTD
2015-04-09,Heat,returned to lineup,Michael Beasley,returned to lineup
2015-04-09,Rockets,surgery on back (out for season),Donatas Motiejunas,out for season
2015-04-10,76ers,sore/strained left shoulder (out for season),Luc Moute,out for season
2015-04-10,76ers,sprained right ankle (out for season),Nerlens Noel,out for season
2015-04-10,Blazers,strained right shoulder (out for season),Arron Afflalo,out for season
2015-04-10,Blazers,sprained left foot (DTD),LaMarcus Aldridge,DTD
2015-04-10,Bucks,returned to lineup,Giannis Antetokounmpo,returned to lineup
2015-04-10,Cavaliers,sore right hip / rest (DTD),Kyrie Irving,DTD
2015-04-10,Jazz,back injury (DTD),Trey Burke,DTD
2015-04-10,Kings,returned to lineup,Nik Stauskas,returned to lineup
2015-04-10,Knicks,illness (out for season),Andrea Bargnani,out for season
2015-04-10,Suns,sprained left ankle (DTD),Marcus Thornton,DTD
2015-04-11,76ers,strained left groin (DTD),Ishmael Smith,DTD
2015-04-11,Knicks,returned to lineup,Cleanthony Early,returned to lineup
2015-04-11,Timberwolves,back injury (DTD),Robbie Hummel,DTD
2015-04-12,Cavaliers,rest (DTD),Earl Smith,DTD
2015-04-12,Cavaliers,rest (DTD),LeBron James,DTD
2015-04-12,Hawks,rest (DTD),Al Horford,DTD
2015-04-12,Hawks,rest (DTD),DeMarre Carroll,DTD
2015-04-12,Hawks,rest (DTD),Jeff Teague,DTD
2015-04-12,Hawks,rest (DTD),Kyle Korver,DTD
2015-04-12,Mavericks,rest (DTD),Amare Stoudemire,DTD
2015-04-12,Suns,foot injury / sore left ankle (out for season),Brandan Wright,out for season
2015-04-12,Suns,concussion (out for season),Reggie Bullock,out for season
2015-04-12,Thunder,sprained left ankle (out for season),Perry Jones,out for season
2015-04-13,76ers,sore left knee (out for season),Jason Richardson,out for season
2015-04-13,76ers,returned to lineup,Ishmael Smith,returned to lineup
2015-04-13,Bulls,sore left knee (DTD),Joakim Noah,DTD
2015-04-13,Bulls,sprained left knee (DTD),Kirk Hinrich,DTD
2015-04-13,Bulls,returned to lineup,Doug McDermott,returned to lineup
2015-04-13,Cavaliers,returned to lineup,Earl Smith,returned to lineup
2015-04-13,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2015-04-13,Cavaliers,returned to lineup,LeBron James,returned to lineup
2015-04-13,Hawks,illness (DTD),Pero Antic,DTD
2015-04-13,Hawks,returned to lineup,Al Horford,returned to lineup
2015-04-13,Hawks,returned to lineup,DeMarre Carroll,returned to lineup
2015-04-13,Hawks,returned to lineup,Jeff Teague,returned to lineup
2015-04-13,Hawks,returned to lineup,Kyle Korver,returned to lineup
2015-04-13,Hornets,sprained right knee (out for season),Samuel Hairston,out for season
2015-04-13,Jazz,back spasms (DTD),Derrick Favors,DTD
2015-04-13,Jazz,Achilles injury (out for season),Gordon Hayward,out for season
2015-04-13,Kings,sprained right thumb (out for season),Reggie Evans,out for season
2015-04-13,Lakers,sprained left ankle (out for season),Wesley Johnson,out for season
2015-04-13,Magic,right hip injury (out for season),Evan Fournier,out for season
2015-04-13,Mavericks,returned to lineup,Amare Stoudemire,returned to lineup
2015-04-13,Pelicans,unspecified (DTD),Jrue Holiday,DTD
2015-04-13,Pistons,undisclosed (out for season),Tayshaun Prince,out for season
2015-04-13,Timberwolves,illness (DTD),Kevin Martin,DTD
2015-04-13,Timberwolves,exploratory surgery on left ankle (out for season),Ricky Rubio,out for season
2015-04-13,Timberwolves,returned to lineup,Robbie Hummel,returned to lineup
2015-04-13,Warriors,returned to lineup,Leandro Barbosa,returned to lineup
2015-04-14,Raptors,rest (DTD),DeMar DeRozan,DTD
2015-04-14,Suns,stomach virus (out for season),Marcus Morris,out for season
2015-04-15,76ers,plantar fasciitis in right foot (out for season),Furkan Aldemir,out for season
2015-04-15,Blazers,sprained left ankle (DTD),Christian McCollum,DTD
2015-04-15,Blazers,back injury (DTD),Chris Kaman,DTD
2015-04-15,Blazers,sprained right knee (DTD),Nicolas Batum,DTD
2015-04-15,Blazers,returned to lineup,LaMarcus Aldridge,returned to lineup
2015-04-15,Bucks,back spasms (DTD),Jared Dudley,DTD
2015-04-15,Bucks,sore neck (DTD),Jerryd Bayless,DTD
2015-04-15,Celtics,sore right ankle (DTD),Jae Crowder,DTD
2015-04-15,Hawks,returned to lineup,Pero Antic,returned to lineup
2015-04-15,Heat,undisclosed (DTD),Chris Andersen,DTD
2015-04-15,Heat,undisclosed (DTD),Dwyane Wade,DTD
2015-04-15,Heat,undisclosed (DTD),Goran Dragic,DTD
2015-04-15,Heat,undisclosed (out for season),Hassan Whiteside,out for season
2015-04-15,Heat,undisclosed (DTD),Luol Deng,DTD
2015-04-15,Heat,undisclosed (DTD),Mario Chalmers,DTD
2015-04-15,Heat,returned to lineup,Henry Walker,returned to lineup
2015-04-15,Jazz,returned to lineup,Derrick Favors,returned to lineup
2015-04-15,Kings,illness (out for season),Omri Casspi,out for season
2015-04-15,Lakers,sprained left ankle (DTD),Jordan Clarkson,DTD
2015-04-15,Nuggets,undisclosed (out for season),Kenneth Faried,out for season
2015-04-15,Nuggets,undisclosed (out for season),Randy Foye,out for season
2015-04-15,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015-04-15,Raptors,undisclosed (DTD),Louis Williams,DTD
2015-04-15,Timberwolves,sprained left ankle (DTD),Chase Budinger,DTD
2015-04-15,Timberwolves,returned to lineup,Anthony Bennett,returned to lineup
2015-04-15,Timberwolves,returned to lineup,Kevin Martin,returned to lineup
2015-04-15,Wizards,rest (DNP),Bradley Beal,DNP
2015-04-15,Wizards,rest (DTD),John Wall,DTD
2015-04-15,Wizards,rest (DTD),Paul Pierce,DTD
2015-04-17,Hawks,surgery on right leg to repair fractured fibula and ligament damage (out for season),Thabo Sefolosha,out for season
2015-04-18,Bucks,returned to lineup,Jared Dudley,returned to lineup
2015-04-18,Bucks,returned to lineup,Jerryd Bayless,returned to lineup
2015-04-18,Mavericks,returned to lineup,Chandler Parsons,returned to lineup
2015-04-18,Rockets,fractured right elbow (out for season),Kevin McDaniels,out for season
2015-04-18,Suns,arthroscopic surgery on left ankle (out indefinitely),Brandon Knight,out indefinitely
2015-04-18,Wizards,returned to lineup,John Wall,returned to lineup
2015-04-19,Blazers,returned to lineup,Christian McCollum,returned to lineup
2015-04-19,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015-04-19,Blazers,returned to lineup,Nicolas Batum,returned to lineup
2015-04-19,Celtics,returned to lineup,Jae Crowder,returned to lineup
2015-04-19,Nets,undisclosed (out for season),Cory Jefferson,out for season
2015-04-19,Nets,illness (out for season),Darius Morris,out for season
2015-04-19,Nets,returned to lineup,Alan Anderson,returned to lineup
2015-04-20,Pelicans,stress reaction in lower right leg (DTD),Jrue Holiday,DTD
2015-04-22,Blazers,left ankle injury (DTD),Chris Kaman,DTD
2015-04-22,Hornets,surgery on right shoulder to repair torn tendon (out indefinitely),Cody Zeller,out indefinitely
2015-04-22,Mavericks,back injury (out for season),Rajon Rondo,out for season
2015-04-23,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015-04-25,Blazers,returned to lineup,Chris Kaman,returned to lineup
2015-04-26,Mavericks,illness (out for season),Bernard James,out for season
2015-04-27,Blazers,sprained left ankle (out for season),Chris Kaman,out for season
2015-04-27,Cavaliers,separated left shoulder (out for season),Kevin Love,out for season
2015-04-28,Mavericks,back injury (out for season),Richard Jefferson,out for season
2015-04-29,Cavaliers,surgery on left shoulder to repair separation (out for season),Kevin Love,out for season
2015-05-01,Mavericks,arthroscopic surgery on right knee to repair cartilage damage (out for season),Chandler Parsons,out for season
2015-05-03,Warriors,ankle injury (out for season),Ognjen Kuzmic,out for season
2015-05-04,Clippers,strained hamstring (DTD),Chris Paul,DTD
2015-05-06,Pelicans,surgery on lower right leg to remove screw (DTD),Jrue Holiday,DTD
2015-05-06,Pelicans,arthroscopic surgery on left knee (out indefinitely),Quincy Pondexter,out indefinitely
2015-05-08,Bulls,fined $25K by NBA for pushing fan while walking to locker room,Joakim Noah,Other
2015-05-08,Clippers,fined $50K by NBA for using inappropriate language during game,Matt Barnes,Other
2015-05-18,Blazers,surgery on left thumb to repair torn ligament (out indefinitely),LaMarcus Aldridge,out indefinitely
2015-05-22,Cavaliers,left knee tendinitis (DTD),Kyrie Irving,DTD
2015-05-23,Hawks,sprained right ankle (out for season),Kyle Korver,out for season
2015-05-23,Raptors,surgery on left ankle to remove bone spurs (out indefinitely),Terrence Ross,out indefinitely
2015-05-26,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2015-05-27,Hawks,surgery on right ankle to repair ligament damage (out indefinitely),Kyle Korver,out indefinitely
2015-05-28,Hawks,separated right shoulder (out for season),Shelvin Mack,out for season
