Date,Team,Notes,Player,Injury Class
2010-12-11,Nuggets,right knee patella tendinitis (DNP),Carmelo Anthony,DNP
2010-12-11,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-12,Magic,strained lower back (DNP),Chris Duhon,DNP
2010-12-13,Jazz,strained right abductor (DNP),Raja Bell,DNP
2010-12-13,Nets,surgery to insert screw to repair broken right foot (out indefinitely),Damion James,out indefinitely
2010-12-14,Kings,left foot injury (DTD),Tyreke Evans,DTD
2010-12-14,Magic,sprained left knee (DNP),Mickael Pietrus,DNP
2010-12-14,Magic,sore left elbow (DNP),Quentin Richardson,DNP
2010-12-14,Nuggets,sprained right wrist (DNP),Chauncey Billups,DNP
2010-12-14,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-15,Bucks,back spasms (DNP),John Salmons,DNP
2010-12-15,Bulls,torn ligament in right thumb (out indefinitely),Joakim Noah,out indefinitely
2010-12-15,Celtics,sore right calf (DNP),Shaquille O'Neal,DNP
2010-12-15,Raptors,sore left knee (DNP),Andrea Bargnani,DNP
2010-12-15,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010-12-15,Wizards,sprained right knee (out indefinitely),Yi Jianlian,out indefinitely
2010-12-16,Bulls,surgery on right thumb to repair torn ligament (out indefinitely),Joakim Noah,out indefinitely
2010-12-16,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010-12-16,Celtics,sore right calf (DNP),Shaquille O'Neal,DNP
2010-12-16,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2010-12-16,Nuggets,torn ligament in right wrist (DNP),Chauncey Billups,DNP
2010-12-16,Rockets,stress fracture in left ankle (out for season),Yao Ming,out for season
2010-12-16,Spurs,strained right adductor (DTD),Tiago Splitter,DTD
2010-12-16,Wizards,right knee tendinitis (DNP),John Wallace,DNP
2010-12-17,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-17,Raptors,sore lower back (DNP),Sonny Weems,DNP
2010-12-18,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-18,Blazers,sore right shoulder (DNP),Marcus Camby,DNP
2010-12-18,Blazers,sore right shoulder (DNP),Nicolas Batum,DNP
2010-12-18,Nuggets,torn ligament in right wrist (DNP),Chauncey Billups,DNP
2010-12-18,Spurs,sprained right big toe (DNP),George Hill,DNP
2010-12-19,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010-12-19,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010-12-19,Pistons,upset stomach (DNP),Richard Hamilton,DNP
2010-12-19,Pistons,sore left big toe (DNP),Rodney Stuckey,DNP
2010-12-19,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2010-12-19,Raptors,back spasms (DNP),Sonny Weems,DNP
2010-12-20,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-20,Blazers,strained right shoulder (DNP),Marcus Camby,DNP
2010-12-20,Clippers,back injury (out indefinitely),Craig Smith,out indefinitely
2010-12-20,Spurs,sprained right big toe (DNP),George Hill,DNP
2010-12-20,Warriors,strained left groin (DNP),Dan Gadzuric,DNP
2010-12-20,Bucks,concussion (DNP),Carlos Delfino,DNP
2010-12-21,Bucks,concussion (DNP),Carlos Delfino,DNP
2010-12-21,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010-12-21,Magic,sprained left ankle (DNP),Malik Allen,DNP
2010-12-21,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010-12-21,Warriors,strained left groin (DNP),Dan Gadzuric,DNP
2010-12-22,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010-12-22,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010-12-22,Raptors,food poisoning (DNP),Jerryd Bayless,DNP
2010-12-22,Raptors,back spasms (DNP),Sonny Weems,DNP
2010-12-22,Spurs,sprained right big toe (DNP),George Hill,DNP
2010-12-23,Bucks,concussion (DNP),Carlos Delfino,DNP
2010-12-23,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010-12-23,Magic,arthroscopic surgery on left knee (out for season),Daniel Orton,out for season
2010-12-23,Spurs,sprained right big toe (DNP),George Hill,DNP
2010-12-25,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010-12-25,Celtics,stomach virus (DTD),Semih Erden,DTD
2010-12-25,Magic,sore left foot (DNP),Jason Williams,DNP
2010-12-27,76ers,right Achilles tendinitis (DNP),Andre Iguodala,DNP
