Year,Name,Injury_DTD,Injury_DNP,Injury_Out_Indef,Injury_Out_Season,Injury_Returned,Injury_Other
2012,Mickell Gladness,0,3,0,0,0,0
2012,Mike Bibby,0,1,0,0,0,0
2012,Mike Conley,0,4,0,0,0,0
2012,Mike Dunleavy,0,4,0,0,0,0
2012,Mike Miller,0,1,0,0,0,0
2012,Monta Ellis,0,2,0,0,0,0
2012,Nate Robinson,0,1,0,0,0,0
2012,Nene,0,19,0,0,0,0
2012,Nick Collison,0,3,0,0,0,0
2012,Nick Young,0,6,0,0,0,0
2012,Nicolas Batum,0,3,0,0,0,0
2012,Nikola Pekovic,0,3,0,0,0,0
2012,Nikola Vucevic,0,3,0,0,0,0
2012,Nolan Smith,0,1,0,0,0,0
2012,Omri Casspi,0,3,0,0,0,0
2012,Patrick Mills,0,1,0,0,0,0
2012,Patrick Patterson,0,3,0,0,0,0
2012,Pau Gasol,0,9,0,0,0,0
2012,Paul Millsap,0,1,0,0,0,0
2012,Paul Pierce,0,2,0,0,0,0
2012,Raja Bell,0,7,0,0,0,0
2012,Rajon Rondo,0,8,0,0,0,0
2012,Rashard Lewis,0,15,0,0,0,0
2012,Rasheed Wallace,0,9,0,0,0,0
2012,Ray Allen,0,6,0,0,0,0
2012,Raymond Felton,0,4,0,0,0,0
2012,Reggie Evans,0,4,0,0,0,0
2012,Reggie Williams,1,8,1,1,1,1
2012,Richard Hamilton,0,16,0,0,0,0
2012,Richard Jefferson,0,10,0,0,0,0
2012,Ricky Rubio,0,2,0,0,0,0
2012,Robin Lopez,0,0,0,0,0,0
2012,Rodney Stuckey,2,8,2,2,2,2
