Year,Name,Age_x,FG%,FT%,PTS,AST,STL,BLK,TOV,Salary,Age_y,player_height,player_weight,gp,net_rating,Salary Cap,Injury_DTD,Injury_DNP,Injury_Out_Indef,Injury_Out_Season,Injury_Returned,Injury_Other,Salary%
2010,Charlie Villanueva,25.0,0.439,0.815,931.0,53.0,48.0,55.0,74.0,7020000.0,26.0,210.82,105.23334399999999,76.0,-5.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,12.166377816291162
2010,Chase Budinger,21.0,0.441,0.77,657.0,88.0,34.0,11.0,48.0,780871.0,23.0,200.66,98.88305600000001,78.0,4.0,57700000,0.0,2.0,0.0,0.0,0.0,0.0,1.3533292894280762
2010,Chauncey Billups,33.0,0.418,0.91,1427.0,409.0,82.0,9.0,177.0,13150000.0,34.0,190.5,95.25432,72.0,2.8,57700000,0.0,3.0,0.0,0.0,0.0,0.0,22.790294627383016
2010,Chris Andersen,31.0,0.5660000000000001,0.695,448.0,33.0,42.0,143.0,59.0,4533300.0,32.0,208.28,103.418976,45.0,5.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,7.856672443674177
2010,Chris Bosh,25.0,0.518,0.797,1678.0,166.0,43.0,68.0,169.0,14500000.0,27.0,210.82,106.59411999999999,77.0,11.4,57700000,0.0,0.0,0.0,0.0,0.0,0.0,25.12998266897747
2010,Chris Duhon,27.0,0.373,0.716,494.0,378.0,59.0,3.0,110.0,3500000.0,28.0,185.42,86.18248,51.0,1.6,57700000,0.0,1.0,0.0,0.0,0.0,0.0,6.065857885615252
2010,Chris Kaman,27.0,0.49,0.7490000000000001,1408.0,120.0,37.0,94.0,223.0,11800000.0,29.0,213.36,120.20188,32.0,-4.7,57700000,0.0,1.0,0.0,0.0,0.0,0.0,20.45060658578856
2010,Chris Paul,24.0,0.493,0.847,841.0,480.0,96.0,8.0,112.0,14940153.0,26.0,182.88,79.3786,80.0,5.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,25.892812824956675
2010,Chris Quinn,26.0,0.35700000000000004,1.0,56.0,29.0,9.0,1.0,10.0,804131.0,27.0,187.96,79.3786,41.0,-1.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.3936412478336222
2010,Chris Wilcox,27.0,0.525,0.5,152.0,13.0,13.0,12.0,38.0,3000000.0,28.0,208.28,106.59411999999999,57.0,-1.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,5.1993067590987865
2010,Chuck Hayes,26.0,0.489,0.545,358.0,139.0,73.0,43.0,74.0,1972500.0,28.0,198.12,107.95489599999999,74.0,5.9,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.418544194107452
2010,Corey Brewer,23.0,0.431,0.648,1066.0,193.0,117.0,29.0,164.0,3875000.0,25.0,205.74,85.275296,69.0,-3.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,6.7157712305026
2010,Corey Maggette,30.0,0.516,0.835,1387.0,172.0,51.0,4.0,168.0,9600000.0,31.0,198.12,102.0582,67.0,-3.1,57700000,0.0,2.0,0.0,0.0,0.0,0.0,16.63778162911612
2010,Courtney Lee,24.0,0.436,0.8690000000000001,885.0,121.0,93.0,20.0,76.0,1352640.0,25.0,195.58,90.7184,81.0,0.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,2.344263431542461
2010,Craig Smith,26.0,0.569,0.635,585.0,84.0,33.0,25.0,88.0,2300000.0,27.0,200.66,120.20188,48.0,-5.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.9861351819757362
2010,D.J. Augustin,22.0,0.386,0.779,508.0,193.0,45.0,5.0,74.0,2540000.0,23.0,182.88,81.64656,82.0,-4.9,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.40207972270364
2010,Daequan Cook,22.0,0.32,0.84,223.0,43.0,14.0,10.0,24.0,2169857.0,24.0,195.58,95.25432,43.0,7.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.760584055459272
2010,Dahntay Jones,29.0,0.461,0.77,776.0,150.0,40.0,39.0,129.0,2500000.0,30.0,198.12,95.25432,45.0,-1.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.332755632582322
2010,Damien Wilkins,30.0,0.433,0.7979999999999999,451.0,135.0,66.0,25.0,76.0,482478.0,31.0,198.12,102.0582,52.0,-8.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.8361837088388215
2010,Dan Gadzuric,31.0,0.43799999999999994,0.4,88.0,12.0,9.0,13.0,15.0,7248325.0,33.0,210.82,108.86208,42.0,-7.7,57700000,0.0,2.0,0.0,0.0,0.0,0.0,12.562088388214903
2010,Daniel Gibson,23.0,0.466,0.6940000000000001,355.0,70.0,25.0,7.0,36.0,4015334.0,25.0,187.96,90.7184,67.0,-5.4,57700000,0.0,0.0,0.0,0.0,0.0,0.0,6.9589844020797225
2010,Danilo Gallinari,21.0,0.423,0.818,1221.0,135.0,75.0,58.0,110.0,3304560.0,22.0,208.28,102.0582,62.0,2.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,5.727140381282496
2010,Danny Granger,26.0,0.428,0.848,1497.0,171.0,94.0,51.0,157.0,10973202.0,28.0,203.2,103.418976,79.0,-0.9,57700000,0.0,0.0,0.0,0.0,0.0,0.0,19.017681109185443
2010,Danny Green,22.0,0.385,0.667,40.0,5.0,6.0,3.0,5.0,130022.0,24.0,198.12,95.25432,8.0,12.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.22534142114384748
2010,Dante Cunningham,22.0,0.495,0.6459999999999999,243.0,14.0,24.0,22.0,15.0,762195.0,24.0,203.2,104.32616,78.0,-3.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.3209618717504332
2010,Darius Songaila,31.0,0.494,0.8109999999999999,543.0,70.0,62.0,14.0,81.0,4818000.0,33.0,205.74,112.490816,10.0,-14.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,8.350086655112651
2010,Darko Milicic,24.0,0.491,0.536,207.0,45.0,20.0,33.5,34.0,4325000.0,26.0,213.36,124.7378,69.0,-6.7,57700000,0.0,1.0,0.0,0.0,0.0,0.0,7.495667244367418
2010,Darrell Arthur,21.0,0.43200000000000005,0.5670000000000001,143.0,15.0,14.0,14.0,22.0,1123680.0,23.0,205.74,106.59411999999999,80.0,2.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.9474523396880414
2010,Darren Collison,22.0,0.47700000000000004,0.851,946.0,432.0,78.0,4.0,202.0,1361040.0,23.0,182.88,72.57472,79.0,-3.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,2.3588214904679377
2010,David Andersen,29.0,0.43200000000000005,0.687,367.0,44.0,15.0,12.0,37.0,2500000.0,31.0,210.82,112.037224,40.0,-0.4,57700000,1.0,0.0,1.0,1.0,1.0,1.0,4.332755632582322
2010,David Lee,26.0,0.545,0.812,1640.0,295.0,85.0,40.0,189.0,10800000.0,28.0,205.74,108.86208,73.0,-2.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,18.717504332755635
2010,David West,29.0,0.505,0.865,1541.0,239.0,76.0,60.0,173.0,8287500.0,30.0,205.74,108.86208,70.0,3.3,57700000,0.0,1.0,0.0,0.0,0.0,0.0,14.3630849220104
2010,DeJuan Blair,20.0,0.556,0.547,638.0,65.0,50.0,39.0,112.0,918000.0,22.0,200.66,122.46983999999999,81.0,5.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.590987868284229
2010,DeMar DeRozan,20.0,0.498,0.763,662.0,53.0,43.0,18.0,62.0,2453880.0,21.0,200.66,99.79024,82.0,-7.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.252824956672444
2010,DeMarre Carroll,23.0,0.396,0.623,209.0,33.0,28.0,9.0,24.0,1085400.0,24.0,203.2,96.16150400000001,12.0,1.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.8811091854419413
2010,DeSagana Diop,28.0,0.517,0.222,32.0,5.0,5.0,14.0,12.0,6478600.0,29.0,213.36,127.00576000000001,16.0,-8.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,11.228076256499135
2010,DeShawn Stevenson,28.0,0.2823333333333333,0.7113333333333335,90.66666666666667,37.333333333333336,10.666666666666666,4.0,20.0,4151786.0,30.0,195.58,98.88305600000001,72.0,3.2,57700000,0.0,0.0,0.0,0.0,0.0,0.0,7.195469670710572
2010,Derek Fisher,35.0,0.38,0.856,615.0,201.0,90.0,9.0,78.0,3700000.0,36.0,185.42,95.25432,82.0,9.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,6.412478336221837
2010,Deron Williams,25.0,0.469,0.8009999999999999,1419.0,798.0,96.0,16.0,252.0,14940153.0,27.0,190.5,94.800728,65.0,-2.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,25.892812824956675
2010,Derrick Brown,22.0,0.46299999999999997,0.667,186.0,19.0,21.0,10.0,19.0,762195.0,23.0,203.2,99.79024,49.0,-4.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.3209618717504332
2010,Derrick Rose,21.0,0.489,0.7659999999999999,1619.0,469.0,57.0,27.0,217.0,5546160.0,22.0,190.5,86.18248,81.0,8.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,9.612062391681109
2010,Devin Harris,26.0,0.40299999999999997,0.7979999999999999,1080.0,423.0,79.0,18.0,181.0,8981000.0,28.0,190.5,86.18248,71.0,-5.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,15.564991334488735
2010,Dirk Nowitzki,31.0,0.48100000000000004,0.915,2027.0,218.0,70.0,79.0,149.0,17278618.0,33.0,213.36,111.13004,73.0,11.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,29.945611785095323
2010,Dominic McGuire,24.0,0.35766666666666663,0.0,25.333333333333332,7.333333333333333,3.3333333333333335,2.6666666666666665,11.333333333333334,211084.0,25.0,205.74,99.79024,52.0,-5.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.36583015597920276
2010,Donte Greene,21.0,0.441,0.643,647.0,71.0,41.0,53.0,93.0,930700.0,23.0,210.82,102.511792,69.0,-3.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.6129982668977467
2010,Dorell Wright,24.0,0.46299999999999997,0.884,510.0,91.0,52.0,32.0,53.0,3540000.0,25.0,205.74,92.98635999999999,82.0,-2.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,6.135181975736568
2010,Drew Gooden,28.0,0.47900000000000004,0.8636666666666666,508.6666666666667,31.333333333333332,27.333333333333332,38.666666666666664,72.0,5765000.0,29.0,208.28,113.398,35.0,-3.7,57700000,0.0,7.0,0.0,0.0,0.0,0.0,9.991334488734834
2010,Dwight Howard,24.0,0.612,0.5920000000000001,1503.0,144.0,75.0,228.0,274.0,16647180.0,25.0,210.82,120.20188,78.0,8.6,57700000,0.0,2.0,0.0,0.0,0.0,0.0,28.851265164644712
2010,Dwyane Wade,28.0,0.47600000000000003,0.7609999999999999,2045.0,501.0,142.0,82.0,252.0,14200000.0,29.0,193.04,99.79024,76.0,10.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,24.610051993067593
2010,Earl Barron,28.0,0.441,0.759,82.0,8.0,4.0,4.0,11.0,11679.0,29.0,213.36,113.398,21.0,-6.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.020240901213171576
2010,Earl Clark,22.0,0.371,0.722,140.0,21.0,7.0,13.0,23.0,1898760.0,23.0,208.28,102.0582,42.0,-4.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.2907452339688037
2010,Eddie House,31.0,0.3706666666666667,0.941,315.3333333333333,56.666666666666664,26.666666666666668,4.666666666666667,31.333333333333332,1352181.0,33.0,185.42,86.18248,56.0,5.3,57700000,0.0,0.0,0.0,0.0,0.0,0.0,2.343467937608319
2010,Eduardo Najera,33.0,0.418,0.5833333333333334,104.66666666666667,19.333333333333332,17.333333333333332,9.333333333333334,16.666666666666668,3000000.0,34.0,203.2,106.59411999999999,31.0,1.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,5.1993067590987865
2010,Elton Brand,30.0,0.48,0.738,996.0,109.0,82.0,80.0,131.0,15959099.0,32.0,205.74,115.212368,81.0,1.4,57700000,0.0,0.0,0.0,0.0,0.0,0.0,27.658750433275564
2010,Emeka Okafor,27.0,0.53,0.562,850.0,55.0,54.0,127.0,111.0,11495000.0,28.0,208.28,115.66596000000001,72.0,3.9,57700000,0.0,0.0,0.0,0.0,0.0,0.0,19.92201039861352
2010,Eric Gordon,21.0,0.449,0.742,1045.0,186.0,69.0,14.0,144.0,3016680.0,22.0,190.5,97.52228000000001,56.0,-1.7,57700000,0.0,1.0,0.0,0.0,0.0,0.0,5.228214904679376
2010,Eric Maynor,22.0,0.4143333333333333,0.7240000000000001,254.66666666666666,177.33333333333334,26.666666666666668,6.666666666666667,56.666666666666664,1417800.0,24.0,190.5,79.3786,82.0,8.4,57700000,0.0,0.0,0.0,0.0,0.0,0.0,2.457192374350087
2010,Erick Dampier,34.0,0.624,0.604,328.0,31.0,15.0,77.0,61.0,713666.0,35.0,210.82,120.20188,51.0,6.8,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.2368561525129984
2010,Ersan Ilyasova,22.0,0.44299999999999995,0.715,840.0,84.0,53.0,23.0,71.0,2320500.0,24.0,208.28,106.59411999999999,60.0,1.1,57700000,0.0,0.0,0.0,0.0,0.0,0.0,4.021663778162911
2010,Etan Thomas,31.0,0.456,0.591,75.0,1.0,4.0,16.0,18.0,854389.0,33.0,208.28,117.93392,13.0,-19.4,57700000,0.0,0.0,0.0,0.0,0.0,0.0,1.4807435008665513
2010,Francisco Garcia,28.0,0.466,0.882,202.0,45.0,10.0,19.0,21.0,5500000.0,29.0,200.66,88.45044,58.0,-5.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,9.532062391681109
2010,Garrett Temple,23.0,0.42424999999999996,0.7585,68.0,10.5,6.5,3.0,13.5,80703.0,25.0,198.12,88.45044,24.0,-6.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,0.13986655112651647
2010,Gerald Henderson,22.0,0.35600000000000004,0.745,113.0,13.0,10.0,9.0,14.0,2103840.0,23.0,193.04,97.52228000000001,68.0,-2.6,57700000,0.0,0.0,0.0,0.0,0.0,0.0,3.6461698440207977
2010,Gerald Wallace,27.0,0.484,0.7759999999999999,1386.0,161.0,117.0,83.0,178.0,10500000.0,28.0,200.66,99.79024,71.0,3.0,57700000,0.0,0.0,0.0,0.0,0.0,0.0,18.19757365684575
2010,Gilbert Arenas,28.0,0.41100000000000003,0.7390000000000001,722.0,230.0,41.0,9.0,117.0,17730694.0,29.0,193.04,97.52228000000001,70.0,-0.7,57700000,0.0,0.0,0.0,0.0,0.0,0.0,30.729105719237438
