season,player,salary
2003-2004,Erick Dampier,7482000
2003-2004,Kelvin Cato,7344000
2003-2004,Dikembe Mutombo,17895000
2003-2004,Marcus Camby,7250000
2003-2004,Allan Houston,15937000
2003-2004,Chris Webber,15937000
2003-2004,Damon Stoudamire,14625000
2003-2004,Ray Allen,13500000
2003-2004,Latrell Sprewell,13500000
2003-2004,Ron Mercer,7169000
2003-2004,Shandon Anderson,6700000
2003-2004,Lorenzen Wright,6600000
2003-2004,Jerry Stackhouse,6500000
2003-2004,Elton Brand,6364000
2003-2004,Doug Christie,6250000
2003-2004,Peja Stojakovic,6250000
2003-2004,Eddie Robinson,6246000
2003-2004,Bob Sura,6166000
2003-2004,Charlie Ward,6030000
2003-2004,Bo Outlaw,5955000
2003-2004,Howard Eisley,5843000
2003-2004,Steve Nash,5750000
2003-2004,Steve Francis,5720000
2003-2004,Vitaly Potapenko,5715000
2003-2004,Nazr Mohammed,5700000
2003-2004,Eric Williams,5560000
2003-2004,Christian Laettner,5526000
2003-2004,Alvin Williams,5500000
2003-2004,Ben Wallace,5500000
2003-2004,Ruben Patterson,5447000
2003-2004,Calvin Booth,5446000
2003-2004,Joe Smith,5445000
2003-2004,Clarence Weatherspoon,5445000
2003-2004,Avery Johnson,5445000
2003-2004,Danny Fortson,5428000
2003-2004,Jerome Williams,5400000
2003-2004,Brent Barry,5400000
2003-2004,Jahidi White,5394000
2003-2004,Kurt Thomas,5394000
2003-2004,Cuttino Mobley,5393000
2003-2004,Scot Pollard,5310000
2003-2004,Robert Horry,5300000
2003-2004,Shawn Bradley,5194000
2003-2004,Baron Davis,5173000
2003-2004,Kenyon Martin,5128000
2003-2004,Brevin Knight,5062000
2003-2004,Corliss Williamson,5000000
2003-2004,Aaron McKie,5000000
2003-2004,Lamar Odom,4692000
2003-2004,Lawrence Funderburke,3600000
2003-2004,Moochie Norris,3600000
2003-2004,Richard Hamilton,3596000
2003-2004,Pau Gasol,3417000
2003-2004,Mike Miller,3380000
2003-2004,Andre Miller,3317000
2003-2004,Lindsey Hunter,3300000
2003-2004,Chris Whitney,3259000
2003-2004,DerMarr Johnson,3087000
2003-2004,Shawn Marion,3069000
2003-2004,Derek Fisher,3000000
2003-2004,Chris Crawford,3000000
2003-2004,Jason Terry,2933000
2003-2004,Bimbo Coles,2925000
2003-2004,Aaron Williams,2925000
2003-2004,Othella Harrington,2925000
2003-2004,Tony Delk,2925000
2003-2004,Bobby Jackson,2925000
2003-2004,Horace Grant,2903000
2003-2004,Hubert Davis,2894000
2003-2004,Corey Maggette,2862000
2003-2004,Stromile Swift,4614000
2003-2004,Mark Jackson,4580000
2003-2004,Rick Fox,4549000
2003-2004,Lamond Murray,4500000
2003-2004,Eric Snow,4500000
2003-2004,Michael Stewart,4480000
2003-2004,Tony Battie,4400000
2003-2004,Adonal Foyle,4400000
2003-2004,Jonathan Bender,4278000
2003-2004,Kwame Brown,4252000
2003-2004,Zeljko Rebraca,4200000
2003-2004,Darius Miles,4130000
2003-2004,Anthony Carter,4063000
2003-2004,David Wesley,3960000
2003-2004,Wally Szczerbiak,3912000
2003-2004,Chucky Atkins,3900000
2003-2004,Marc Jackson,3900000
2003-2004,Marcus Fizer,3726000
2003-2004,Andrew DeClercq,3625000
2003-2004,Chris Mihm,2823000
2003-2004,Michael Curry,2800000
2003-2004,George Lynch,2800000
2003-2004,Metta World Peace,2676000
2003-2004,John Amaechi,2610000
2003-2004,Jamal Crawford,2577000
2003-2004,Shane Battier,2533000
2003-2004,James Posey,2445000
2003-2004,Stacey Augmon,2400000
2003-2004,Joel Przybilla,2373000
2003-2004,Quincy Lewis,2350000
2003-2004,Dion Glover,2270000
2003-2004,Jeff Foster,2264000
2003-2004,Keyon Dooling,2256000
2003-2004,Devean George,2244000
2003-2004,Jerome Moiso,2230000
2003-2004,Kenny Thomas,2225000
2003-2004,Etan Thomas,2211000
2003-2004,Mateen Cleaves,2134000
2003-2004,DeSagana Diop,2118000
2003-2004,Jason Collier,2109000
2003-2004,Jumaine Jones,2104000
2003-2004,Scott Padgett,2102000
2003-2004,Hedo Turkoglu,1995000
2003-2004,Rodney White,1948000
2003-2004,Desmond Mason,1898000
2003-2004,Joe Johnson,1850000
2003-2004,Quentin Richardson,1805000
2003-2004,Kedrick Brown,1757000
2003-2004,Jamaal Magloire,1735000
2003-2004,Vladimir Radmanovic,1670000
2003-2004,Speedy Claxton,1667000
2003-2004,Morris Peterson,1646000
2003-2004,Donnell Harvey,1631000
2003-2004,DeShawn Stevenson,1624000
2003-2004,Richard Jefferson,1586000
2003-2004,Jake Tsakalidis,1580000
2003-2004,Mamadou N'diaye,1537000
2003-2004,Troy Murphy,1507000
2003-2004,Mark Madsen,1474000
2003-2004,Bryce Drew,1300000
2003-2004,Michael Bradley,1292000
2003-2004,Jason Collins,1227000
2003-2004,Zach Randolph,1172000
2003-2004,Brandon Armstrong,995000
2003-2004,Andrei Kirilenko,956000
2003-2004,Samuel Dalembert,887000
2003-2004,Primoz Brezec,862000
2003-2004,Jamaal Tinsley,861000
2003-2004,Tony Parker,856000
2003-2004,Gerald Wallace,764000
2003-2004,Predrag Drobnjak,639000
2003-2004,Trenton Hassell,587000
2004-2005,Shaquille O'Neal,29464000
2004-2005,Michael Finley,14609000
2004-2005,Tracy McGrady,14487000
2004-2005,Grant Hill,14487000
