season,player,salary
2011-2012,Ray Allen,10000000
2011-2012,Andrea Bargnani,10000000
2011-2012,David West,10000000
2011-2012,Gerald Wallace,9500000
2011-2012,Cuttino Mobley,9500000
2011-2012,Devin Harris,9319000
2011-2012,Richard Jefferson,9282000
2011-2012,Andris Biedrins,9000000
2011-2012,Lamar Odom,8900000
2011-2012,Paul Millsap,8603633
2011-2012,Jameer Nelson,8600000
2011-2012,Luis Scola,8591793
2011-2012,Carl Landry,8500000
2011-2012,Rodney Stuckey,8500000
2011-2012,Mo Williams,8500000
2011-2012,John Salmons,8083000
2011-2012,Thaddeus Young,8039130
2011-2012,Shawn Marion,8022449
2011-2012,Kris Humphries,8000000
2011-2012,Caron Butler,8000000
2011-2012,Kirk Hinrich,8000000
2011-2012,Mark Blount,7967375
2011-2012,Andre Miller,7807728
2011-2012,Arron Afflalo,7750000
2011-2012,Anderson Varejao,7700000
2011-2012,Morris Peterson,6665000
2011-2012,Andres Nocioni,6650000
2011-2012,Mike Conley,6611571
2011-2012,Jerome James,6600000
2011-2012,Wesley Matthews,6505320
2011-2012,Grant Hill,6500000
2011-2012,Josh Childress,6500000
2011-2012,Andray Blatche,6442083
2011-2012,Rasheed Wallace,6322320
2011-2012,Glen Davis,6300000
2011-2012,Tayshaun Prince,6292135
2011-2012,Michael Beasley,6262347
2011-2012,Al Harrington,6226200
2011-2012,Drew Gooden,6226200
2011-2012,Jermaine O'Neal,6226200
2011-2012,Francisco Garcia,6100000
2011-2012,Amir Johnson,6000000
2011-2012,Channing Frye,6000000
2011-2012,Luke Walton,5971363
2011-2012,Kyle Lowry,5750000
2011-2012,Blake Griffin,5731080
2011-2012,Brendan Haywood,7624500
2011-2012,Leandro Barbosa,7600000
2011-2012,James Posey,7595600
2011-2012,Raymond Felton,7560000
2011-2012,Charlie Villanueva,7540000
2011-2012,Marcus Thornton,7525000
2011-2012,Marvin Williams,7500000
2011-2012,Tyrus Thomas,7305785
2011-2012,Marcin Gortat,7258960
2011-2012,Kendrick Perkins,7123626
2011-2012,Marko Jaric,7100000
2011-2012,Samuel Dalembert,7000000
2011-2012,Derrick Rose,6993708
2011-2012,Beno Udrih,6925400
2011-2012,DeSagana Diop,6925400
2011-2012,Trevor Ariza,6790640
2011-2012,Metta World Peace,6790640
2011-2012,JJ Redick,6750000
2011-2012,Kwame Brown,6750000
2011-2012,O.J. Mayo,5632637
2011-2012,Nenad Krstic,5543116
2011-2012,John Wall,5530080
2011-2012,Wilson Chandler,5516664
2011-2012,Chuck Hayes,5486250
2011-2012,Sasha Vujacic,5475113
2011-2012,Mike Miller,5400000
2011-2012,Jason Richardson,5395000
2011-2012,Evan Turner,5293080
2011-2012,Martell Webster,5256000
2011-2012,Tyreke Evans,5251825
2011-2012,Antonio McDyess,5220000
2011-2012,Speedy Claxton,5209454
2011-2012,Lou Williams,5176000
2011-2012,Kyrie Irving,5144280
2011-2012,Hasheem Thabeet,5127720
2011-2012,Russell Westbrook,5082416
2011-2012,Jamal Crawford,5000000
2011-2012,Jason Maxiell,5000000
2011-2012,Jarrett Jack,5000000
2011-2012,Marcus Banks,4847586
2011-2012,Darius Songaila,4818000
2011-2012,Darko Milicic,4776500
2011-2012,Derrick Favors,4753320
2011-2012,Brad Miller,4752000
2011-2012,Zaza Pachulia,4750000
2011-2012,Ronnie Brewer,4710000
2011-2012,Kevin Love,4609701
2011-2012,James Harden,4604760
2011-2012,Derrick Williams,4602720
2011-2012,Linas Kleiza,4600000
2011-2012,Nikola Pekovic,4503600
2011-2012,Jonas Jerebko,4500000
2011-2012,Jeff Green,4455988
2011-2012,Daniel Gibson,4403834
2011-2012,Enes Kanter,4319280
2011-2012,J.J. Barea,4300000
2011-2012,Ramon Sessions,4257973
2011-2012,Randy Foye,4250000
2011-2012,Jared Dudley,4250000
2011-2012,Brandon Bass,4250000
2011-2012,Chris Andersen,4234000
2011-2012,Danilo Gallinari,4190182
2011-2012,Bruce Bowen,4100000
2011-2012,Charlie Bell,4099920
2011-2012,Greg Buckner,4080915
2011-2012,Udonis Haslem,4060000
2011-2012,Spencer Hawes,4051024
2011-2012,Wesley Johnson,4006080
2011-2012,Jordan Farmar,4000000
2011-2012,Mario Chalmers,4000000
2011-2012,Ryan Gomes,4000000
2011-2012,Tiago Splitter,3944000
2011-2012,Matt Carroll,3900000
2011-2012,DeMarcus Cousins,3880800
2011-2012,Eric Gordon,3831184
2011-2012,Dorell Wright,3823000
2011-2012,Nazr Mohammed,3750000
2011-2012,Mike Dunleavy,3750000
2011-2012,Tristan Thompson,3726600
2011-2012,CJ Miles,3700000
2011-2012,Joel Anthony,3700000
2011-2012,Nick Young,3695857
2011-2012,Luke Ridnour,3680000
2011-2012,Matt Bonner,3630000
2011-2012,Shannon Brown,3500000
2011-2012,Shaun Livingston,3500000
2011-2012,Ricky Rubio,3480120
2011-2012,Raja Bell,3480000
2011-2012,Jonny Flynn,3414720
2011-2012,C.J. Watson,3400000
2011-2012,Marco Belinelli,3377604
2011-2012,DeMar DeRozan,3344250
2011-2012,Timofey Mozgov,3343896
2011-2012,Daequan Cook,3341558
2011-2012,Thabo Sefolosha,3300000
2011-2012,Ekpe Udoh,3294960
2011-2012,Nick Collison,3272997
2011-2012,Chris Duhon,3250000
2011-2012,Johan Petro,3250000
2011-2012,D.J. Augustin,3236470
2011-2012,Tony Allen,3150000
2011-2012,Shawne Williams,3135000
2011-2012,Shane Battier,3135000
2011-2012,Stephen Curry,3117120
2011-2012,Brook Lopez,3076983
2011-2012,Jan Vesely,3065040
2011-2012,Corey Brewer,3059000
2011-2012,Jerryd Bayless,3042280
2011-2012,Greg Monroe,3007920
2011-2012,Jason Thompson,3001284
2011-2012,Travis Outlaw,3000000
2011-2012,Josh McRoberts,3000000
2011-2012,Vince Carter,3000000
2011-2012,Brandon Rush,2956658
2011-2012,Anthony Randolph,2911231
2011-2012,Robin Lopez,2862602
2011-2012,Julian Wright,2858057
2011-2012,Jordan Hill,2855760
2011-2012,Mark Madsen,2840000
2011-2012,James Johnson,2812006
2011-2012,Bismack Biyombo,2798040
2011-2012,Lou Amundson,2763450
2011-2012,Al-Farouq Aminu,2755560
2011-2012,Eduardo Najera,2750000
2011-2012,Marreese Speights,2721255
2011-2012,Gordon Hayward,2709720
2011-2012,Dahntay Jones,2700000
2011-2012,David Andersen,2685185
2011-2012,Jrue Holiday,2674852
2011-2012,Roy Hibbert,2588590
2011-2012,Brandon Knight,2563320
2011-2012,Ersan Ilyasova,2541000
2011-2012,Jason Smith,2500000
2011-2012,Kenyon Martin,2500000
2011-2012,DeShawn Stevenson,2500000
2011-2012,Brandon Jennings,2493720
2011-2012,JaVale McGee,2462400
2011-2012,Quentin Richardson,2446200
2011-2012,Paul George,2406240
2011-2012,Ricky Davis,2400000
2011-2012,Kemba Walker,2356320
2011-2012,JJ Hickson,2354537
2011-2012,Jimmer Fredette,2339040
2011-2012,JR Smith,2338709
2011-2012,Derek Fisher,2329545
2011-2012,Cole Aldrich,2286000
2011-2012,Gerald Henderson,2250600
2011-2012,Anthony Parker,2250000
2011-2012,Keyon Dooling,2246400
2011-2012,Ben Wallace,2246400
2011-2012,Ryan Anderson,2244601
2011-2012,Courtney Lee,2225093
2011-2012,Ed Davis,2207040
2011-2012,Kosta Koufos,2203792
2011-2012,Rudy Fernandez,2180443
2011-2012,Xavier Henry,2171640
2011-2012,Nicolas Batum,2155365
2011-2012,Josh Howard,2150000
2011-2012,Tyler Hansbrough,2138040
2011-2012,Klay Thompson,2126520
2011-2012,Alec Burks,2111160
2011-2012,Goran Dragic,2108000
2011-2012,Anthony Johnson,2062800
2011-2012,Brent Barry,2062800
2011-2012,Anthony Tolliver,2050000
2011-2012,Darrell Arthur,2027119
2011-2012,Aaron Brooks,2016692
2011-2012,Markieff Morris,2005560
2011-2012,D.J. White,2001167
2011-2012,Chauncey Billups,2000032
2011-2012,Dante Cunningham,2000000
2011-2012,Earl Watson,2000000
2011-2012,Rasho Nesterovic,1990000
2011-2012,Patrick Patterson,1959960
2011-2012,Austin Daye,1929600
2011-2012,Matt Barnes,1906200
2011-2012,Luke Babbitt,1892280
2011-2012,Larry Sanders,1861920
2011-2012,Omer Asik,1857500
2011-2012,Dikembe Mutombo,1823280
2011-2012,Marcus Morris,1823280
2011-2012,Kawhi Leonard,1809840
2011-2012,Keith Bogans,1728000
2011-2012,Nikola Vucevic,1719480
2011-2012,Kevin Seraphin,1680360
2011-2012,Donte Greene,1679914
2011-2012,Renaldo Balkman,1675000
2011-2012,Ty Lawson,1654440
2011-2012,Eric Bledsoe,1596360
2011-2012,Jeff Teague,1579920
2011-2012,Sebastian Telfair,1567500
2011-2012,Gustavo Ayon,1567500
2011-2012,Iman Shumpert,1563120
2011-2012,George Hill,1540493
2011-2012,Avery Bradley,1524480
2011-2012,Eric Maynor,1516680
2011-2012,Greg Oden,1500000
2011-2012,Gary Forbes,1500000
2011-2012,James Jones,1500000
2011-2012,Chris Singleton,1485000
2011-2012,Alexis Ajinca,1467840
2011-2012,Darren Collison,1455960
2011-2012,Elliot Williams,1442880
2011-2012,Tobias Harris,1418160
2011-2012,Craig Brackins,1404960
2011-2012,James Anderson,1402540
2011-2012,Eddie House,1399507
2011-2012,Zydrunas Ilgauskas,1399507
2011-2012,Nolan Smith,1365720
2011-2012,Kurt Thomas,1352181
2011-2012,Jamaal Tinsley,1352181
2011-2012,Shaquille O'Neal,1352181
2011-2012,Roko-Leni Ukic,1350000
2011-2012,Omri Casspi,1341960
2011-2012,Hamed Haddadi,1300000
2011-2012,Trevor Booker,1294920
2011-2012,Serge Ibaka,1288200
2011-2012,Byron Mullens,1288200
2011-2012,Kenneth Faried,1254720
2011-2012,Damion James,1243080
2011-2012,Rodrigue Beaubois,1236720
2011-2012,Brian Cook,1223166
2011-2012,Royal Ivey,1200000
2011-2012,Taj Gibson,1195680
2011-2012,Dominique Jones,1193280
2011-2012,Sam Young,1184750
2011-2012,Earl Clark,1160000
2011-2012,Reggie Jackson,1156320
2011-2012,Wayne Ellington,1154040
2011-2012,Quincy Pondexter,1153800
2011-2012,Toney Douglas,1145640
2011-2012,Jordan Hamilton,1121520
2011-2012,Jordan Crawford,1120440
2011-2012,Greivis Vasquez,1113600
2011-2012,Stephen Graham,1106941
2011-2012,Joey Graham,1106941
2011-2012,Daniel Orton,1105560
2011-2012,Christian Eyenga,1097520
2011-2012,Lazar Hayward,1097520
2011-2012,Norris Cole,1082520
2011-2012,Cory Joseph,1074720
2011-2012,Alando Tucker,1071720
2011-2012,Von Wafer,1069509
2011-2012,MarShon Brooks,1063865
2011-2012,Stephen Jackson,1059750
2011-2012,DeJuan Blair,1054000
2011-2012,JaJuan Johnson,1042320
2011-2012,Quinton Ross,1033342
2011-2012,Jawad Williams,1029389
2011-2012,Earl Barron,1027424
2011-2012,Jimmy Butler,1020960
2011-2012,Jeremy Pargo,1000000
2011-2012,Jon Brockman,1000000
2011-2012,Shavlik Randolph,992680
2011-2012,Ian Mahinmi,915852
2011-2012,John Lucas III,915852
2011-2012,Brandan Wright,915852
2011-2012,Henry Walker,885120
2011-2012,DeMarre Carroll,885120
2011-2012,Pops Mensah-Bonsu,885120
2011-2012,Salim Stoudamire,884881
2011-2012,Patrick Ewing Jr.,884293
2011-2012,Anthony Roberson,855189
2011-2012,Mouhamed Sene,855189
2011-2012,Quincy Douby,855189
2011-2012,Tarence Kinsey,855189
2011-2012,Francisco Elson,854389
2011-2012,Trey Johnson,854389
2011-2012,Luke Jackson,854389
2011-2012,Derrick Byars,854389
2011-2012,Kyle Weaver,854389
2011-2012,Jannero Pargo,854389
2011-2012,Darius Miles,854389
2011-2012,Javaris Crittenton,854389
2011-2012,Joe Alexander,854389
2011-2012,Gary Neal,854389
2011-2012,Chandler Parsons,850000
2011-2012,Solomon Alabi,830000
2011-2012,Michael Redd,826828
2011-2012,Desmond Mason,825497
2011-2012,Paul Davis,825497
2011-2012,Jason Hart,825497
2011-2012,Jermareo Davidson,825497
2011-2012,Kevin Ollie,825497
2011-2012,Ryan Bowen,825497
2011-2012,Gabe Pruitt,825497
2011-2012,Lance Stephenson,810000
2011-2012,Tyler Honeycutt,809875
2011-2012,Chris Quinn,804131
2011-2012,Sean Marks,799105
2011-2012,Ike Diogu,792377
2011-2012,Solomon Jones,792377
2011-2012,Gani Lawal,788872
2011-2012,Da'Sean Butler,788872
2011-2012,Marcus Cousin,788872
2011-2012,Andy Rautins,788872
2011-2012,Zabian Dowdell,788872
2011-2012,Terrico White,788872
2011-2012,Pape Sy,788872
2011-2012,Magnum Rolle,788872
2011-2012,Nate Robinson,785487
2011-2012,Jermaine Taylor,780871
2011-2012,Yi Jianlian,771706
2011-2012,Hamady Ndiaye,762195
2011-2012,Kenny Hasbrouck,762195
2011-2012,Tony Gaffney,762195
2011-2012,Greg Stiemsma,762195
2011-2012,Brian Butch,762195
2011-2012,Derrick Caracter,762195
2011-2012,Samardo Samuels,762195
2011-2012,Semih Erden,762195
2011-2012,Dexter Pittman,762195
2011-2012,Joe Crawford,736420
2011-2012,Mike Taylor,736420
2011-2012,Walter Sharpe,736420
2011-2012,DeMarcus Nelson,736420
2011-2012,Dontell Jefferson,736420
2011-2012,Othello Hunter,736420
2011-2012,Ime Udoka,708640
2011-2012,Mike Wilks,679821
2011-2012,Brian Skinner,668434
2011-2012,Allen Iverson,650686
2011-2012,Jeremy Tyler,650000
2011-2012,Acie Law,633253
2011-2012,Josh Selby,550000
2011-2012,Trey Thompkins,535000
2011-2012,Erick Dampier,530547
2011-2012,Jason Williams,524964
2011-2012,Ish Smith,522472
2011-2012,Travis Leslie,500000
2011-2012,Malcolm Lee,500000
2011-2012,Ryan Reid,475000
2011-2012,Pooh Jeter,473604
2011-2012,Charles Jenkins,473604
2011-2012,Shelvin Mack,473604
2011-2012,Lavoy Allen,473604
2011-2012,Josh Harrellson,473604
2011-2012,Cory Higgins,473604
2011-2012,Sherron Collins,473604
2011-2012,Chris Wright,473604
2011-2012,Jon Leuer,473604
2011-2012,Carldell Johnson,473604
2011-2012,Marcus Landry,457588
2011-2012,Trey Gilder,457588
2011-2012,Deron Washington,457588
2011-2012,Kyrylo Fesenko,435000
2011-2012,Joel Przybilla,420304
2011-2012,Gerald Green,413413
2011-2012,Peja Stojakovic,402065
2011-2012,Walker Russell,374300
2011-2012,Ronny Turiaf,319128
2011-2012,Lance Thomas,305551
2011-2012,Kelenna Azubuike,280192
2011-2012,Gilbert Arenas,261829
2011-2012,Terrence Williams,254938
2011-2012,Manny Harris,252016
2011-2012,Ryan Hollins,248048
2011-2012,Boris Diaw,241158
2011-2012,Bobby Simmons,234268
2011-2012,Mustafa Shakur,226162
2011-2012,Earl Boykins,220487
2011-2012,Mike James,220487
2011-2012,Alan Anderson,213597
2011-2012,Patty Mills,213517
2011-2012,Al Thornton,211084
2011-2012,Travis Diener,208802
2011-2012,Leon Powe,201033
2011-2012,Cartier Martin,199816
2011-2012,Carlos Arroyo,196007
2011-2012,Ben Uzoh,190548
2011-2012,Donald Sloan,160414
2011-2012,Courtney Fortson,156595
2011-2012,James Singleton,151585
2011-2012,Mickell Gladness,137498
2011-2012,Blake Ahearn,117134
2011-2012,Armon Johnson,104494
2011-2012,Jamario Moon,96017
2011-2012,Garrett Temple,80703
2011-2012,Morris Almond,75793
2011-2012,Mikki Moore,75793
2011-2012,Dan Gadzuric,69393
2011-2012,Jerome Dyson,64930
2011-2012,Diamon Simpson,57291
2011-2012,Darryl Watkins,55321
2011-2012,Sean Williams,49966
2011-2012,Lester Hudson,48232
2011-2012,Cedric Jackson,40375
2011-2012,Jeff Foote,38194
2011-2012,Othyus Jeffers,35868
2011-2012,D.J. Kennedy,22916
2011-2012,Larry Owens,22287
2011-2012,Mario West,20103
2011-2012,Xavier Silas,11458
2012-2013,Kobe Bryant,30453805
2012-2013,Chris Paul,18668431
2012-2013,Kevin Durant,17832626
2012-2013,Derrick Rose,17632688
2012-2013,Deron Williams,17177795
2012-2013,Andrew Bynum,16889000
2012-2013,Paul Pierce,16790345
2012-2013,Zach Randolph,16500000
2012-2013,Rudy Gay,16460538
2012-2013,Carlos Boozer,15300000
2012-2013,Andre Iguodala,14968250
2012-2013,Dirk Nowitzki,20907128
2012-2013,Russell Westbrook,14693906
2012-2013,Emeka Okafor,14487500
2012-2013,Luol Deng,14275000
2012-2013,Manu Ginobili,14107492
2012-2013,Marc Gasol,13891359
2012-2013,Blake Griffin,13701250
2012-2013,Brook Lopez,13668750
2012-2013,Kevin Love,13668750
2012-2013,Tyson Chandler,13604188
2012-2013,LaMarcus Aldridge,13500000
2012-2013,Amar'e Stoudemire,19948799
2012-2013,Al Jefferson,13500000
2012-2013,Ben Gordon,13200000
2012-2013,Josh Smith,13200000
2012-2013,Danny Granger,13058606
2012-2013,Andrew Bogut,13000000
2012-2013,Nene Hilario,13000000
2012-2013,David Lee,12744000
2012-2013,Tony Parker,12500000
2012-2013,Kevin Martin,12439675
2012-2013,Serge Ibaka,12350000
2012-2013,Joe Johnson,19752645
2012-2013,Kris Humphries,12000000
2012-2013,Carmelo Anthony,19444503
2012-2013,Pau Gasol,19285850
2012-2013,Chris Bosh,19067500
2012-2013,LeBron James,19067500
2012-2013,Dwyane Wade,18673000
2012-2013,Al Horford,12000000
2012-2013,Kevin Garnett,11566265
2012-2013,Joakim Noah,11100000
2012-2013,Jose Calderon,11046591
2012-2013,Rajon Rondo,11000000
2012-2013,Monta Ellis,11000000
2012-2013,DeAndre Jordan,10986550
2012-2013,Corey Maggette,10924138
2012-2013,Mehmet Okur,10890000
2012-2013,Nicolas Batum,10850000
2012-2013,Richard Jefferson,10164000
2012-2013,Stephen Jackson,10059750
2012-2013,JaVale McGee,10000000
2012-2013,Andrea Bargnani,10000000
2012-2013,David West,10000000
2012-2013,Andrei Kirilenko,9779349
2012-2013,Gerald Wallace,9682435
2012-2013,Tim Duncan,9638554
2012-2013,Cuttino Mobley,9500000
2012-2013,Danilo Gallinari,9439000
2012-2013,Steve Nash,9300500
2012-2013,Andris Biedrins,9000000
2012-2013,Ryan Anderson,8700000
2012-2013,Shawn Marion,8646364
2012-2013,Paul Millsap,8603633
2012-2013,Jameer Nelson,8600000
2012-2013,Mo Williams,8500000
2012-2013,Rodney Stuckey,8500000
2012-2013,Devin Harris,8500000
2012-2013,Kendrick Perkins,8477437
2012-2013,Jeff Green,8385000
2012-2013,Omer Asik,8374646
2012-2013,Jeremy Lin,8374646
2012-2013,Anderson Varejao,8368182
2012-2013,Thaddeus Young,8289130
2012-2013,Marvin Williams,8287500
2012-2013,John Salmons,8083000
2012-2013,Charlie Villanueva,8060000
2012-2013,Tyrus Thomas,8000000
2012-2013,George Hill,8000000
2012-2013,Andres Nocioni,6650000
2012-2013,Jerome James,6600000
2012-2013,Wesley Matthews,6505320
2012-2013,Spencer Hawes,6500000
2012-2013,Glen Davis,6400000
2012-2013,Channing Frye,6400000
2012-2013,Landry Fields,6250000
2012-2013,Mike Miller,6200000
2012-2013,Francisco Garcia,6100000
2012-2013,Luke Walton,6091363
2012-2013,Amir Johnson,6050000
2012-2013,Michael Beasley,6000000
2012-2013,Brandon Bass,6000000
2012-2013,Wilson Chandler,5930414
2012-2013,James Harden,5820417
2012-2013,Jason Richardson,5799625
2012-2013,Kyle Lowry,5750000
2012-2013,Nick Young,5600000
2012-2013,Chuck Hayes,5486250
2012-2013,Sasha Vujacic,5475113
2012-2013,Jarrett Jack,5400000
2012-2013,Mark Blount,7967375
2012-2013,Ersan Ilyasova,7900000
2012-2013,Arron Afflalo,7750000
2012-2013,Metta World Peace,7727500
2012-2013,Trevor Ariza,7727280
2012-2013,Marcin Gortat,7727280
2012-2013,James Posey,7595600
2012-2013,Marcus Thornton,7525000
2012-2013,Mike Conley,7505786
2012-2013,Goran Dragic,7500000
2012-2013,John Wall,7459925
2012-2013,Taj Gibson,7415730
2012-2013,Beno Udrih,7372000
2012-2013,Al Harrington,7148600
2012-2013,Tayshaun Prince,6764045
2012-2013,JJ Redick,6750000
2012-2013,Samuel Dalembert,6698565
2012-2013,Drew Gooden,6687400
2012-2013,Morris Peterson,6665000
2012-2013,Kyrie Irving,5375760
2012-2013,Evan Turner,5293080
2012-2013,Tyreke Evans,5250825
2012-2013,Jason Thompson,5250000
2012-2013,Zaza Pachulia,5248750
2012-2013,Jamal Crawford,5225000
2012-2013,Antonio McDyess,5220000
2012-2013,Speedy Claxton,5209454
2012-2013,Martell Webster,5150000
2012-2013,Anthony Davis,5144280
2012-2013,Brad Miller,5104000
2012-2013,Brandon Roy,5100000
2012-2013,Lou Williams,5000000
2012-2013,Andre Miller,5000000
2012-2013,Jason Maxiell,5000000
2012-2013,Richard Hamilton,5000000
2012-2013,Robin Lopez,4899293
2012-2013,Marcus Banks,4847586
2012-2013,Nikola Pekovic,4837200
2012-2013,Darius Songaila,4818000
2012-2013,Michael Kidd-Gilchrist,4809840
2012-2013,Derrick Williams,4809840
2012-2013,Luc Mbah a Moute,4794192
2012-2013,Daniel Gibson,4792332
2012-2013,Victor Oladipo,4763760
2012-2013,Derrick Favors,4753320
2012-2013,Linas Kleiza,4600000
2012-2013,Marcus Camby,4590338
2012-2013,Luis Scola,4508504
2012-2013,Boris Diaw,4500000
2012-2013,Jonas Jerebko,4500000
2012-2013,J.J. Barea,4493500
2012-2013,Udonis Haslem,4340000
2012-2013,Bradley Beal,4319280
2012-2013,Enes Kanter,4319280
2012-2013,Wesley Johnson,4285560
2012-2013,Otto Porter Jr.,4278000
2012-2013,Jordan Farmar,4250000
2012-2013,Jared Dudley,4250000
2012-2013,Marreese Speights,4200000
2012-2013,Dorell Wright,4106000
2012-2013,Bruce Bowen,4100000
2012-2013,Charlie Bell,4099920
2012-2013,Greg Buckner,4080915
2012-2013,Kirk Hinrich,4059000
2012-2013,Steve Novak,4054055
2012-2013,O.J. Mayo,4020000
2012-2013,JJ Hickson,4000000
2012-2013,Ian Mahinmi,4000000
2012-2013,Mario Chalmers,4000000
2012-2013,Luke Ridnour,4000000
2012-2013,Ryan Gomes,4000000
2012-2013,Stephen Curry,3958742
2012-2013,Tiago Splitter,3944000
2012-2013,Thabo Sefolosha,3900000
2012-2013,Tristan Thompson,3894240
2012-2013,DeMarcus Cousins,3880800
2012-2013,Cody Zeller,3857040
2012-2013,Joel Anthony,3800000
2012-2013,Ricky Rubio,3741120
2012-2013,Dion Waiters,3726600
2012-2013,Matt Bonner,3630000
2012-2013,Jordan Hill,3563600
2012-2013,Ekpe Udoh,3524880
2012-2013,Chris Duhon,3500000
2012-2013,Alonzo Gee,3500000
2012-2013,Danny Green,3500000
2012-2013,Matt Carroll,3500000
2012-2013,Johan Petro,3500000
2012-2013,Raymond Felton,3480453
2012-2013,Raja Bell,3480000
2012-2013,Jonas Valanciunas,3374640
2012-2013,Thomas Robinson,3374640
2012-2013,DeMar DeRozan,3344250
2012-2013,Jan Vesely,3340920
2012-2013,Tony Allen,3300000
2012-2013,Shane Battier,3270000
2012-2013,Matt Barnes,3250000
2012-2013,Will Bynum,3250000
2012-2013,Corey Brewer,3243000
2012-2013,Ray Allen,3229050
2012-2013,Greg Monroe,3217680
2012-2013,Mike Dunleavy,3183000
2012-2013,Brandon Jennings,3179493
2012-2013,Timofey Mozgov,3140429
2012-2013,Shawne Williams,3135000
2012-2013,Mirza Teletovic,3090000
2012-2013,Jason Kidd,3090000
2012-2013,Vince Carter,3090000
2012-2013,Damian Lillard,3065040
2012-2013,Tyler Hansbrough,3055259
2012-2013,Bismack Biyombo,3049920
2012-2013,Joel Freeland,3013512
2012-2013,Darrell Arthur,3006217
2012-2013,Lavoy Allen,3000000
2012-2013,Carlos Delfino,3000000
2012-2013,Kosta Koufos,3000000
2012-2013,Jeff Foster,3000000
2012-2013,Austin Daye,2958077
2012-2013,Al-Farouq Aminu,2947800
2012-2013,Alexey Shved,2934610
2012-2013,Dahntay Jones,2900000
2012-2013,Julian Wright,2858057
2012-2013,Mark Madsen,2840000
2012-2013,Kwame Brown,2819044
2012-2013,James Johnson,2812006
2012-2013,JR Smith,2806452
2012-2013,Harrison Barnes,2798040
2012-2013,Kevin Seraphin,2761114
2012-2013,Eduardo Najera,2750000
2012-2013,Gordon Hayward,2709720
2012-2013,David Andersen,2685185
2012-2013,Brandon Knight,2678640
2012-2013,Jrue Holiday,2674852
2012-2013,Josh McRoberts,2652000
2012-2013,Quentin Richardson,2627400
2012-2013,Eric Bledsoe,2626473
2012-2013,Nick Collison,2585668
2012-2013,Greg Stiemsma,2575000
2012-2013,Aaron Gray,2575000
2012-2013,Paul George,2574120
2012-2013,Kemba Walker,2568360
2012-2013,Terrence Ross,2563320
2012-2013,Ty Lawson,2544529
2012-2013,Jason Smith,2500000
2012-2013,Randy Foye,2500000
2012-2013,Cole Aldrich,2445480
2012-2013,Jeff Teague,2433077
2012-2013,Aaron Brooks,2400000
2012-2013,Ricky Davis,2400000
2012-2013,Andre Drummond,2356320
2012-2013,Trevor Booker,2350820
2012-2013,Jimmer Fredette,2339040
2012-2013,Xavier Henry,2323200
2012-2013,Earl Watson,2300000
2012-2013,Omri Casspi,2277306
2012-2013,Anthony Parker,2250000
2012-2013,Ben Wallace,2246400
2012-2013,DeShawn Stevenson,2240450
2012-2013,Austin Rivers,2238360
2012-2013,Rodrigue Beaubois,2227333
2012-2013,CJ Miles,2225000
2012-2013,Klay Thompson,2222160
2012-2013,Ed Davis,2207040
2012-2013,Rudy Fernandez,2180443
2012-2013,Meyers Leonard,2126520
2012-2013,Jeremy Lamb,2111160
2012-2013,Alec Burks,2111160
2012-2013,Elton Brand,2100500
2012-2013,Patrick Patterson,2096760
2012-2013,Markieff Morris,2091840
2012-2013,Dante Cunningham,2090000
2012-2013,Wayne Ellington,2083042
2012-2013,Toney Douglas,2067880
2012-2013,Anthony Johnson,2062800
2012-2013,Brent Barry,2062800
2012-2013,Brendan Haywood,2050000
2012-2013,Eric Maynor,2016000
2012-2013,Kendall Marshall,2005560
2012-2013,Larry Sanders,1991760
2012-2013,Rasho Nesterovic,1990000
2012-2013,Marcus Morris,1987320
2012-2013,Grant Hill,1975000
2012-2013,Marco Belinelli,1957000
2012-2013,Darren Collison,1900000
2012-2013,Luke Babbitt,1892280
2012-2013,John Henson,1823280
2012-2013,Dikembe Mutombo,1823280
2012-2013,Kawhi Leonard,1809840
2012-2013,Maurice Harkless,1809840
2012-2013,Jeremy Evans,1794872
2012-2013,Nikola Vucevic,1793520
2012-2013,Donte Greene,1679914
2012-2013,Chris Andersen,1679408
2012-2013,Renaldo Balkman,1675000
2012-2013,Anthony Randolph,1674641
2012-2013,Royce White,1645440
2012-2013,Iman Shumpert,1633440
2012-2013,Avery Bradley,1630800
2012-2013,Reggie Evans,1622617
2012-2013,Chris Singleton,1618680
2012-2013,Sebastian Telfair,1567500
2012-2013,Tyler Zeller,1563120
2012-2013,Jodie Meeks,1550000
2012-2013,Tobias Harris,1545840
2012-2013,Jeff Ayres,1500000
2012-2013,Greg Oden,1500000
2012-2013,Slava Kravtsov,1500000
2012-2013,Gustavo Ayon,1500000
2012-2013,Terrence Jones,1485000
2012-2013,Andrew Nicholson,1482000
2012-2013,Jared Jeffries,1475106
2012-2013,Alexis Ajinca,1467840
2012-2013,Elliot Williams,1442880
2012-2013,Tony Snell,1409040
2012-2013,Craig Brackins,1404960
2012-2013,Nando De Colo,1400000
2012-2013,Eddie House,1399507
2012-2013,Willie Green,1399507
2012-2013,Rashard Lewis,1399507
2012-2013,Nolan Smith,1365720
2012-2013,Evan Fournier,1361400
2012-2013,Donatas Motiejunas,1361400
2012-2013,Jamaal Tinsley,1352181
2012-2013,Kurt Thomas,1352181
2012-2013,Roko-Leni Ukic,1350000
2012-2013,Kenneth Faried,1311240
