Age,FG%,FT%,PTS,AST,STL,BLK,TOV
24.0,0.42133333333333334,0.7050000000000001,276.6666666666667,35.333333333333336,24.0,16.666666666666668,40.666666666666664
24.0,0.451,0.8170000000000001,1431.0,294.0,185.0,41.0,189.0
26.0,0.39299999999999996,0.618,174.0,34.0,20.0,67.0,44.0
28.0,0.434,0.7809999999999999,743.0,464.0,91.0,6.0,153.0
29.0,0.45133333333333336,0.7273333333333333,494.6666666666667,28.0,19.333333333333332,25.333333333333332,36.666666666666664
22.0,0.455,0.777,876.0,134.0,68.0,40.0,186.0
23.0,0.37033333333333335,0.6203333333333334,22.666666666666668,3.3333333333333335,1.3333333333333333,2.0,4.0
24.0,0.44,0.716,660.0,182.0,77.0,22.0,107.0
22.0,0.45399999999999996,0.645,841.3333333333334,56.666666666666664,35.333333333333336,52.0,112.66666666666667
28.0,0.44299999999999995,0.8220000000000001,146.0,38.0,11.0,1.0,30.0
26.0,0.366,0.7070000000000001,301.0,105.0,52.0,46.0,73.0
29.0,0.3236666666666667,0.5890000000000001,12.666666666666666,5.333333333333333,0.0,0.0,9.333333333333334
25.0,0.545,0.4,26.0,3.0,0.0,0.0,3.0
26.0,0.449,0.46,396.0,98.0,60.0,48.0,103.0
28.0,0.47200000000000003,0.72,1230.0,131.0,52.0,58.0,184.0
28.0,0.48,0.7859999999999999,511.0,283.0,68.0,17.0,113.0
31.0,0.5003333333333333,0.8313333333333333,92.0,19.333333333333332,4.666666666666667,11.333333333333334,22.0
29.0,0.42700000000000005,0.857,236.0,44.0,4.0,37.0,50.0
24.0,0.473,0.737,697.0,292.0,58.0,34.0,141.0
29.0,0.462,0.858,691.0,205.0,76.0,17.0,104.0
28.0,0.45,0.7959999999999999,482.0,173.33333333333334,76.0,6.0,116.66666666666667
31.0,0.419,0.858,681.0,209.0,49.0,7.0,117.0
23.0,0.436,0.7709999999999999,491.0,129.0,56.0,24.0,115.0
22.0,0.444,0.833,192.0,41.0,21.0,0.0,34.0
24.0,0.47200000000000003,0.654,475.0,58.0,18.0,118.0,94.0
24.0,0.479,0.613,191.0,23.0,12.0,21.0,44.0
26.0,0.474,0.825,549.0,105.0,55.0,8.0,116.0
23.0,0.48,0.76,1623.0,141.0,119.0,27.0,210.0
27.0,0.488,0.642,693.0,192.0,54.0,92.0,147.0
37.0,0.449,0.855,1322.0,328.0,90.0,22.0,204.0
30.0,0.36033333333333334,0.7236666666666666,544.6666666666666,140.66666666666666,28.666666666666668,12.666666666666666,112.66666666666667
22.0,0.455,0.8290000000000001,377.0,252.0,58.0,1.0,97.0
25.0,0.423,0.563,311.0,38.0,27.0,50.0,62.0
24.0,0.435,0.772,1017.0,768.0,160.0,9.0,213.0
28.0,0.48100000000000004,0.773,834.0,232.0,51.0,4.0,124.0
25.0,0.5036666666666667,0.777,788.0,120.0,60.0,34.666666666666664,154.66666666666666
26.0,0.43766666666666665,0.8453333333333334,1184.6666666666667,142.66666666666666,62.666666666666664,6.666666666666667,152.0
22.0,0.45399999999999996,0.828,874.0,217.0,81.0,14.0,151.0
26.0,0.40700000000000003,0.722,83.0,27.0,6.0,1.0,22.0
27.0,0.502,0.845,1528.0,279.0,135.0,97.0,238.0
24.0,0.503,0.81,1118.0,175.0,72.0,30.0,176.0
30.0,0.55,0.7829999999999999,1600.0,269.0,103.0,185.0,208.0
26.0,0.397,0.84,188.0,82.0,25.0,5.0,37.0
22.0,0.444,0.647,323.0,26.0,18.0,14.0,89.0
23.0,0.465,0.652,532.0,99.0,69.0,54.0,119.0
26.0,0.48633333333333334,0.6863333333333334,442.6666666666667,48.0,31.333333333333332,42.666666666666664,71.33333333333333
24.0,0.44799999999999995,0.789,1253.0,155.0,61.0,17.0,159.0
26.0,0.43700000000000006,0.6890000000000001,829.0,97.0,44.0,90.0,141.0
27.0,0.46366666666666667,0.7400000000000001,822.6666666666666,558.0,82.0,10.0,240.0
26.0,0.43966666666666665,0.5033333333333333,102.0,20.0,3.3333333333333335,3.3333333333333335,11.333333333333334
26.0,0.426,0.7609999999999999,466.0,111.0,28.0,3.0,69.0
25.0,0.35600000000000004,0.31,123.0,38.0,49.0,49.0,57.0
23.0,0.231,0.0,6.0,7.0,5.0,2.0,3.0
25.0,0.489,0.8540000000000001,1672.0,268.0,115.0,24.0,279.0
27.0,0.4166666666666667,0.8170000000000001,312.6666666666667,31.333333333333332,12.0,7.333333333333333,44.666666666666664
23.0,0.294,0.6,16.0,7.0,2.0,2.0,8.0
28.0,0.47,0.82,520.0,87.0,59.0,5.0,66.0
23.0,0.496,0.71,642.0,260.0,68.0,15.0,134.0
25.0,0.368,0.667,372.0,80.0,74.0,71.0,73.0
23.0,0.48100000000000004,0.6409999999999999,863.0,112.0,57.0,48.0,197.0
24.0,0.442,0.743,1285.0,380.0,157.0,29.0,241.0
27.0,0.504,0.718,671.0,81.0,29.0,21.0,96.0
24.0,0.44799999999999995,0.6509999999999999,362.0,253.0,77.0,13.0,107.0
22.0,0.514,0.736,1219.0,195.0,109.0,112.0,228.0
33.0,0.49700000000000005,0.774,1123.0,193.0,94.0,14.0,150.0
33.0,0.509,0.752,748.0,285.0,87.0,13.0,95.0
26.0,0.3443333333333333,0.7183333333333333,151.33333333333334,22.666666666666668,14.666666666666666,4.666666666666667,32.0
30.0,0.441,0.7909999999999999,920.0,360.0,93.0,28.0,217.0
27.0,0.455,0.738,980.0,185.0,147.0,27.0,210.0
30.0,0.441,0.84,467.0,148.0,46.0,5.0,108.0
23.0,0.43799999999999994,0.7,84.0,8.0,5.0,1.0,12.0
22.0,0.506,0.58,345.0,41.0,21.0,6.0,69.0
21.0,0.48100000000000004,0.8109999999999999,646.0,131.0,45.0,26.0,118.0
21.0,0.522,0.736,1557.0,190.0,92.0,103.0,175.0
25.0,0.429,0.6436666666666667,457.3333333333333,90.66666666666667,42.666666666666664,55.333333333333336,90.66666666666667
25.0,0.502,0.629,1144.0,203.0,48.0,162.0,257.0
25.0,0.45799999999999996,0.767,1113.0,173.0,61.0,56.0,192.0
23.0,0.284,0.622,74.0,22.0,11.0,7.0,30.0
25.0,0.462,0.812,1484.0,267.0,92.0,68.0,270.0
26.0,0.479,0.743,1258.0,238.0,100.0,50.0,218.0
22.0,0.40299999999999997,0.8240000000000001,374.0,123.0,39.0,5.0,89.0
23.0,0.408,0.8033333333333333,35.333333333333336,18.666666666666668,6.0,0.6666666666666666,8.0
24.0,0.449,0.5670000000000001,295.0,142.0,41.0,10.0,75.0
27.0,0.473,0.87,637.0,376.0,159.0,25.0,176.0
22.0,0.527,0.785,441.0,78.0,35.0,5.0,50.0
26.0,0.4713333333333333,0.7353333333333333,388.6666666666667,50.666666666666664,20.0,66.66666666666667,70.0
29.0,0.436,0.8740000000000001,584.0,203.0,52.0,9.0,120.0
23.0,0.512,0.6970000000000001,1066.0,71.0,28.0,42.0,184.0
29.0,0.506,0.9229999999999999,182.0,108.0,21.0,4.0,59.0
22.0,0.499,0.718,1144.0,31.0,48.0,76.0,220.0
27.0,0.42900000000000005,0.8353333333333334,483.3333333333333,49.333333333333336,38.0,22.666666666666668,55.333333333333336
27.0,0.44299999999999995,0.8809999999999999,209.0,32.0,19.0,10.0,49.0
22.0,0.49700000000000005,0.7140000000000001,1107.0,553.0,138.0,7.0,251.0
30.0,0.419,0.7509999999999999,572.0,531.0,144.0,5.0,200.0
28.0,0.47200000000000003,0.8540000000000001,695.0,120.0,80.0,36.0,107.0
22.0,0.49200000000000005,0.6970000000000001,1156.0,174.0,74.0,12.0,145.0
24.0,0.447,0.713,432.0,172.0,88.0,45.0,150.0
34.0,0.397,0.586,477.0,145.0,65.0,16.0,152.0
27.0,0.516,0.813,2014.0,437.0,138.0,31.0,280.0
30.0,0.444,0.87,1352.0,335.0,101.0,8.0,248.0
27.0,0.44299999999999995,0.79,509.0,73.0,36.0,9.0,67.0
32.0,0.478,0.768,153.0,46.0,31.0,15.0,47.0
25.0,0.47200000000000003,0.812,1612.0,393.0,108.0,27.0,266.0
21.0,0.354,0.667,178.0,54.0,14.0,5.0,62.0
23.0,0.46799999999999997,0.645,759.0,456.0,188.0,19.0,228.0
28.0,0.36833333333333335,0.8119999999999999,344.6666666666667,106.0,50.0,4.666666666666667,84.0
29.0,0.465,0.8,2021.0,458.0,172.0,11.0,286.0
23.0,0.44299999999999995,0.705,756.0,363.0,108.0,15.0,242.0
24.0,0.505,0.779,833.0,233.0,89.0,129.0,225.0
23.0,0.32299999999999995,1.0,24.0,3.0,3.0,1.0,4.0
22.0,0.47700000000000004,0.754,1000.0,118.0,74.0,73.0,191.0
33.0,0.451,0.924,1898.0,446.0,158.0,45.0,224.0
23.0,0.381,0.6,340.0,149.0,58.0,1.0,79.0
23.0,0.426,0.6970000000000001,269.0,90.0,29.0,19.0,50.0
25.0,0.45299999999999996,0.825,1436.0,584.0,170.0,23.0,352.0
23.0,0.46,0.862,163.0,37.0,22.0,13.0,43.0
24.0,0.47200000000000003,0.625,1025.0,95.0,79.0,123.0,201.0
22.0,0.455,0.6559999999999999,585.0,121.0,67.0,51.0,81.0
22.0,0.515,0.875,121.0,39.0,18.0,3.0,20.0
23.0,0.55,0.4,26.0,2.0,1.0,1.0,7.0
27.0,0.486,0.54525,435.5,50.5,31.0,15.5,87.0
31.0,0.44299999999999995,0.8540000000000001,1448.0,311.0,105.0,11.0,303.0
25.0,0.439,0.746,1004.0,305.0,225.0,17.0,221.0
29.0,0.485,0.753,495.0,32.0,15.0,5.0,38.0
24.0,0.365,0.778,76.0,22.0,8.0,0.0,22.0
29.0,0.449,0.7170000000000001,664.0,300.0,120.0,108.0,186.0
25.0,0.4013333333333333,0.6873333333333332,139.33333333333334,29.333333333333332,9.333333333333334,9.333333333333334,28.666666666666668
23.0,0.45399999999999996,0.81,735.0,114.0,50.0,6.0,125.0
22.0,0.385,0.667,30.0,20.0,3.0,0.0,19.0
25.0,0.509,0.87,1435.0,201.0,99.0,22.0,158.0
28.0,0.467,0.66,1083.0,171.0,67.0,46.0,226.0
26.0,0.39233333333333337,0.586,353.3333333333333,196.0,72.0,20.666666666666668,112.0
22.0,0.519,0.705,934.0,155.0,135.0,36.0,128.0
28.0,0.484,0.711,920.0,126.0,37.0,72.0,140.0
24.0,0.43799999999999994,0.696,151.0,30.0,14.0,2.0,23.0
27.0,0.45299999999999996,0.818,949.0,190.0,78.0,57.0,148.0
30.0,0.52,0.795,757.0,174.0,87.0,3.0,131.0
23.0,0.45399999999999996,0.6609999999999999,275.0,43.0,14.0,3.0,46.0
28.0,0.504,0.765,1210.0,216.0,40.0,47.0,225.0
22.0,0.41700000000000004,0.6609999999999999,237.0,45.0,46.0,8.0,35.0
22.0,0.46799999999999997,0.815,284.0,74.0,23.0,0.0,58.0
31.0,0.439,0.7583333333333333,202.0,104.66666666666667,38.666666666666664,4.0,60.0
23.0,0.433,0.889,472.0,72.0,21.0,14.0,77.0
26.0,0.38799999999999996,0.515,348.0,63.0,62.0,33.0,80.0
22.0,0.47700000000000004,0.649,507.0,38.0,50.0,28.0,97.0
23.0,0.498,0.82,493.0,101.0,55.0,22.0,50.0
32.0,0.46,0.769,56.0,44.0,3.0,4.0,26.0
24.0,0.518,0.7559999999999999,463.0,71.0,25.0,14.0,95.0
25.0,0.434,0.794,653.0,131.0,62.0,81.0,123.0
26.0,0.43200000000000005,0.746,857.0,406.0,93.0,15.0,195.0
22.0,0.405,0.76,306.0,47.0,17.0,17.0,101.0
25.0,0.493,0.8,676.0,84.0,33.0,16.0,109.0
28.0,0.49,0.741,832.0,160.0,33.0,37.0,152.0
22.0,0.441,0.698,373.0,103.0,74.0,5.0,88.0
22.0,0.48700000000000004,0.703,610.0,79.0,57.0,218.0,121.0
26.0,0.444,0.64,1862.0,171.0,73.0,79.0,301.0
23.0,0.4486666666666666,0.625,322.0,51.333333333333336,17.333333333333332,6.666666666666667,51.333333333333336
32.0,0.47100000000000003,0.85,825.0,209.0,77.0,13.0,113.0
23.0,0.526,0.83,1959.0,273.0,113.0,20.0,283.0
25.0,0.3,0.75,9.0,2.0,1.0,0.0,1.0
31.0,0.523,0.5379999999999999,607.0,326.0,98.0,45.0,173.0
23.0,0.39899999999999997,0.58,196.0,12.0,21.0,10.0,36.0
30.0,0.44,0.706,536.0,116.0,70.0,43.0,137.0
26.0,0.44299999999999995,0.799,1361.0,313.0,164.0,14.0,223.0
30.0,0.4093333333333333,0.6696666666666666,132.0,22.0,20.666666666666668,2.0,37.333333333333336
30.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0
22.0,0.466,0.5333333333333333,152.66666666666666,6.666666666666667,12.0,24.666666666666668,42.0
24.0,0.455,0.731,1191.0,306.0,68.0,41.0,200.0
31.0,0.3466666666666667,0.7186666666666667,42.0,6.666666666666667,2.0,2.0,9.333333333333334
26.0,0.494,0.75,727.0,78.0,28.0,21.0,111.0
22.0,0.51,0.8540000000000001,1040.0,138.0,63.0,12.0,155.0
26.0,0.423,0.8633333333333333,187.33333333333334,59.333333333333336,26.666666666666668,2.0,48.0
25.0,0.511,0.752,1299.0,271.0,70.0,78.0,196.0
27.0,0.49200000000000005,0.8320000000000001,472.0,231.0,56.0,15.0,108.0
25.0,0.42,0.667,96.0,17.0,5.0,1.0,17.0
24.0,0.53,0.799,1369.0,360.0,110.0,63.0,279.0
23.0,0.535,0.7140000000000001,544.0,126.0,80.0,62.0,99.0
24.0,0.351,0.696,172.0,69.5,19.0,2.0,72.0
23.0,0.424,0.691,498.0,107.0,20.0,2.0,65.0
25.0,0.434,0.8540000000000001,838.0,480.0,102.0,16.0,202.0
29.0,0.575,0.7390000000000001,1940.0,274.0,50.0,156.0,310.0
30.0,0.475,0.816,1394.0,217.0,77.0,14.0,175.0
24.0,0.434,0.539,298.0,167.0,29.0,37.0,107.0
