,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,PER Cluster
177,2010,Mario Chalmers,1.4807435008665513,0,1,1,0
178,2010,Mario West,0.034840554592720965,0,1,0,0
179,2010,Marquis Daniels,4.138648180242634,0,1,0,0
180,2010,Marreese Speights,3.074454072790295,1,2,0,1
181,2010,Martell Webster,8.31889081455806,1,2,2,3
182,2010,Marvin Williams,12.586655112651643,1,2,3,3
183,2010,Matt Barnes,3.0589254766031195,1,2,1,3
184,2010,Matt Bonner,5.285961871750433,1,1,1,3
185,2010,Matt Carroll,7.452339688041594,0,1,0,0
186,2010,Maurice Evans,4.332755632582321,0,1,3,3
187,2010,Mehmet Okur,17.23570190641248,1,0,1,1
188,2010,Michael Beasley,8.600069324090121,1,0,3,1
189,2010,Michael Redd,31.7157712305026,0,0,0,3
190,2010,Mickael Pietrus,9.185441941074524,0,2,1,3
191,2010,Mike Bibby,0.3745407279029463,0,2,2,3
192,2010,Mike Conley,8.514864818024263,0,0,1,3
193,2010,Mike Dunleavy,18.304998266897744,1,2,1,3
194,2010,Mo Williams,16.11785095320624,0,0,2,1
195,2010,Monta Ellis,19.064124783362214,0,3,1,1
196,2010,Morris Peterson,11.551126516464471,1,1,3,0
197,2010,Nate Robinson,7.2790294627383005,0,2,3,1
198,2010,Nenad Krstic,9.606786828422877,1,2,0,3
199,2010,Nick Collison,22.99826689774697,1,1,0,3
200,2010,Nick Young,4.558930675909878,0,2,3,0
201,2010,Nicolas Batum,2.074107452339688,0,2,3,1
202,2010,O.J. Mayo,7.723050259965338,0,0,2,3
203,2010,Omri Casspi,2.1741421143847486,1,2,1,3
204,2010,Patty Mills,1.6242547660311957,0,1,0,3
205,2010,Pau Gasol,30.889081455805893,1,3,0,2
206,2010,Paul Millsap,13.17157712305026,1,2,0,1
207,2010,Paul Pierce,24.049083188908142,1,0,1,1
208,2010,Peja Stojakovic,0.6968197573656846,1,2,2,3
209,2010,Quentin Richardson,3.925476603119584,1,2,2,3
210,2010,Quinton Ross,1.790887348353553,0,1,0,0
211,2010,Raja Bell,5.1993067590987865,0,2,0,3
212,2010,Rajon Rondo,15.755478336221836,0,0,3,1
213,2010,Ramon Sessions,6.8705719237435,0,2,0,3
214,2010,Randy Foye,7.365684575389947,0,2,3,3
215,2010,Rashard Lewis,33.92324263431543,1,0,2,3
216,2010,Rasual Butler,0.3658301559792028,0,2,2,0
217,2010,Ray Allen,17.33102253032929,0,0,2,1
218,2010,Raymond Felton,12.131715771230507,0,0,3,1
219,2010,Renaldo Balkman,2.9029462738301564,0,1,0,0
220,2010,Richard Hamilton,21.663778162911612,0,3,3,3
221,2010,Richard Jefferson,14.558058925476606,1,2,1,3
222,2010,Rodney Stuckey,4.7957123050259955,0,3,3,1
223,2010,Rodrigue Beaubois,2.0036048526863084,0,1,3,1
224,2010,Ronnie Brewer,8.301559792027732,1,2,0,3
225,2010,Ronnie Price,2.3938474870017328,0,1,0,0
226,2010,Ronny Turiaf,6.932409012131716,1,1,0,3
227,2010,Roy Hibbert,2.9207625649913345,1,0,0,1
228,2010,Royal Ivey,2.079722703639515,0,1,0,0
229,2010,Rudy Fernandez,2.160623916811092,0,2,1,3
230,2010,Rudy Gay,23.576689774696714,1,3,1,1
231,2010,Russell Westbrook,6.96311958405546,0,0,3,1
232,2010,Ryan Anderson,2.4420103986135184,1,1,1,1
233,2010,Ryan Gomes,6.932409012131716,1,2,1,3
234,2010,Ryan Hollins,4.043904679376084,1,1,0,3
235,2010,Sam Young,1.535528596187175,0,2,0,3
236,2010,Sasha Pavlovic,0.3658301559792028,1,1,3,0
237,2010,Sasha Vujacic,9.48893067590988,0,1,3,3
238,2010,Sebastian Telfair,4.6793760831889095,0,1,0,3
239,2010,Serge Ibaka,2.087001733102253,1,1,0,1
240,2010,Shane Battier,12.746100519930675,1,2,1,3
241,2010,Shannon Brown,3.7247833622183713,0,2,1,3
242,2010,Shaquille O'Neal,2.343467937608319,1,0,0,1
243,2010,Shaun Livingston,6.065857885615253,0,2,0,3
244,2010,Shawn Marion,12.227902946273833,1,0,0,3
245,2010,Solomon Jones,2.599653379549393,1,1,0,0
246,2010,Spencer Hawes,5.154800693240901,1,2,3,3
247,2010,Stephen Curry,5.049982668977469,0,0,2,1
248,2010,Stephen Graham,1.720415944540728,0,1,0,3
249,2010,Stephen Jackson,14.650346620450607,1,3,1,1
250,2010,Steve Nash,17.869909878682844,0,0,1,2
251,2010,Steve Novak,0.5313258232235701,1,1,0,0
252,2010,Sundiata Gaines,0.19425996533795492,0,1,0,1
253,2010,T.J. Ford,14.731369150779894,0,2,0,3
254,2010,Tayshaun Prince,19.321941074523398,1,0,0,1
255,2010,Terrence Williams,3.837920277296361,0,2,3,3
256,2010,Thabo Sefolosha,5.632582322357018,0,1,3,0
257,2010,Thaddeus Young,5.028147313691507,1,0,3,3
258,2010,Tim Duncan,32.64364124783362,1,3,0,2
259,2010,Toney Douglas,1.8561525129982668,0,2,3,3
260,2010,Tony Allen,5.1993067590987865,0,1,0,3
261,2010,Tony Parker,23.396880415944537,0,0,0,1
262,2010,Travis Outlaw,12.131715771230507,0,2,0,3
263,2010,Trevor Ariza,10.95722703639515,0,0,2,3
264,2010,Troy Murphy,0.3745407279029463,1,0,2,1
265,2010,Ty Lawson,2.6803466204506066,0,2,3,1
266,2010,Tyler Hansbrough,3.463778162911612,1,2,0,3
267,2010,Tyreke Evans,6.726031195840554,0,3,3,1
268,2010,Tyrus Thomas,11.458526863084922,1,2,0,1
269,2010,Vince Carter,30.368067590987874,0,0,2,1
270,2010,Vladimir Radmanovic,11.930329289428075,1,1,0,0
271,2010,Wayne Ellington,1.8696707105719241,0,1,3,0
272,2010,Wesley Matthews,9.991334488734834,0,2,3,3
273,2010,Will Bynum,5.632582322357018,0,2,0,3
274,2010,Willie Green,6.890814558058926,0,2,3,3
275,2010,Wilson Chandler,3.692343154246101,1,0,3,3
276,2010,Yi Jianlian,7.019928942807626,1,0,0,3
277,2010,Zach Randolph,30.61813864818024,1,3,0,2
278,2010,Zaza Pachulia,7.36785095320624,1,1,0,3
279,2010,Zydrunas Ilgauskas,2.343467937608319,1,2,0,3
280,2011,Al Harrington,10.726690097167666,1,2,2,3
281,2011,Al Horford,21.53277341327269,1,0,0,2
282,2011,Al-Farouq Aminu,4.747364068637585,1,1,3,0
283,2011,Amar'e Stoudemire,31.38602611811729,1,3,0,2
284,2011,Amir Johnson,10.336985734959686,1,2,0,1
285,2011,Anderson Varejao,13.265798359864931,1,2,0,1
286,2011,Andray Blatche,11.098620012404382,1,3,0,1
287,2011,Andre Iguodala,25.357056715595068,0,0,3,1
288,2011,Andre Miller,13.451395493074221,0,0,0,1
289,2011,Andrea Bargnani,17.22830955826614,1,3,1,1
290,2011,Andres Nocioni,11.456825856246985,1,1,3,0
291,2011,Andrew Bogut,20.673971469919373,1,0,0,1
292,2011,Antawn Jamison,25.974631314175447,1,3,1,1
293,2011,Anthony Parker,3.8763696506098815,0,2,1,0
294,2011,Anthony Randolph,5.01555888636207,1,1,0,3
295,2011,Anthony Tolliver,3.5318034594445598,1,1,3,3
296,2011,Armon Johnson,0.18002549789814626,0,1,0,0
297,2011,Arron Afflalo,13.35193990765626,0,2,1,3
298,2011,Austin Daye,3.3243746123630347,0,2,3,3
299,2011,Avery Bradley,2.6264213355385566,0,1,0,0
300,2011,Ben Gordon,19.98483908758873,0,2,1,3
301,2011,Ben Uzoh,0.3282819929708497,0,1,0,3
302,2011,Ben Wallace,3.8701674591689055,1,1,0,3
303,2011,Beno Udrih,11.931293501481635,0,0,3,1
304,2011,Blake Griffin,9.873682034318794,1,3,0,2
305,2011,Boris Diaw,0.41547446764523466,1,2,1,3
306,2011,Brad Miller,8.186892702088072,1,1,3,1
307,2011,Brandon Bass,7.322031562263111,1,2,0,1
308,2011,Brandon Jennings,4.296258011163944,0,0,1,1
309,2011,Brandon Rush,5.093821928192407,1,2,1,0
310,2011,Brendan Haywood,13.13572462270002,1,1,0,3
311,2011,Brian Cook,2.1073082489146167,1,1,3,3
312,2011,Brook Lopez,5.301121562952243,1,3,0,1
313,2011,C.J. Watson,5.857625249810487,0,1,3,3
314,2011,Carl Landry,14.644063124526221,1,2,0,3
315,2011,Carmelo Anthony,31.90437254496589,1,3,3,2
316,2011,Caron Butler,13.782647646612912,1,0,0,3
