,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,Pos,Tm
277,2010,Ronnie Brewer,8.301559792027732,1,2,2,SG,UTA
278,2010,Ronnie Brewer,8.301559792027732,1,2,2,SG,MEM
279,2010,Ronnie Price,2.3938474870017328,0,1,2,PG,UTA
280,2010,Ronny Turiaf,6.932409012131716,1,1,2,C,GSW
281,2010,Roy Hibbert,2.9207625649913345,1,0,2,C,IND
282,2010,Royal Ivey,2.079722703639515,0,1,2,SG,TOT
283,2010,Royal Ivey,2.079722703639515,0,1,2,SG,PHI
284,2010,Royal Ivey,2.079722703639515,0,1,2,SG,MIL
285,2010,Rudy Fernandez,2.160623916811092,0,2,1,SG,POR
286,2010,Rudy Gay,23.576689774696714,1,3,1,SF,MEM
287,2010,Russell Westbrook,6.96311958405546,0,0,0,PG,OKC
288,2010,Ryan Anderson,2.4420103986135184,1,1,1,PF,ORL
289,2010,Ryan Gomes,6.932409012131716,1,2,1,SF,MIN
290,2010,Ryan Hollins,4.043904679376084,1,1,2,C,MIN
291,2010,Sam Young,1.535528596187175,0,2,2,SF,MEM
292,2010,Sasha Pavlovic,0.3658301559792028,1,1,0,SF,MIN
293,2010,Sasha Vujacic,9.48893067590988,0,1,0,SG,LAL
294,2010,Sebastian Telfair,4.6793760831889095,0,1,2,PG,TOT
295,2010,Sebastian Telfair,4.6793760831889095,0,1,2,PG,LAC
296,2010,Sebastian Telfair,4.6793760831889095,0,1,2,PG,CLE
297,2010,Serge Ibaka,2.087001733102253,1,1,2,PF,OKC
298,2010,Shane Battier,12.746100519930675,1,2,1,SG,HOU
299,2010,Shannon Brown,3.7247833622183713,0,2,1,SG,LAL
300,2010,Shaquille O'Neal,2.343467937608319,1,0,2,,
301,2010,Shaun Livingston,6.065857885615253,0,2,2,PG,TOT
302,2010,Shaun Livingston,6.065857885615253,0,2,2,PG,OKC
303,2010,Shaun Livingston,6.065857885615253,0,2,2,PG,WAS
304,2010,Shawn Marion,12.227902946273833,1,0,2,SF,DAL
305,2010,Solomon Jones,2.5996533795493932,1,1,2,C,IND
306,2010,Spencer Hawes,5.154800693240901,1,2,0,C,SAC
307,2010,Stephen Curry,5.049982668977469,0,0,3,PG,GSW
308,2010,Stephen Graham,1.720415944540728,0,1,2,SG,CHA
309,2010,Stephen Jackson,14.650346620450607,1,3,1,SG-PF,TOT
310,2010,Stephen Jackson,14.650346620450607,1,3,1,PF,GSW
311,2010,Stephen Jackson,14.650346620450607,1,3,1,SG,CHA
312,2010,Steve Nash,17.869909878682844,0,0,1,PG,PHO
313,2010,Steve Novak,0.5313258232235701,1,1,2,SF,LAC
314,2010,Sundiata Gaines,0.19425996533795487,0,1,2,PG,UTA
315,2010,T.J. Ford,14.731369150779894,0,2,2,PG,IND
316,2010,Tayshaun Prince,19.321941074523398,1,0,2,SF,DET
317,2010,Terrence Williams,3.8379202772963614,0,2,0,SF,NJN
318,2010,Thabo Sefolosha,5.632582322357018,0,1,0,SG,OKC
319,2010,Thaddeus Young,5.028147313691507,1,0,0,PF,PHI
320,2010,Tim Duncan,32.64364124783362,1,3,2,C,SAS
321,2010,Toney Douglas,1.8561525129982668,0,2,0,PG,NYK
322,2010,Tony Allen,5.1993067590987865,0,1,2,SG,BOS
323,2010,Tony Parker,23.396880415944533,0,0,2,PG,SAS
324,2010,Travis Outlaw,12.131715771230507,0,2,2,SF,TOT
325,2010,Travis Outlaw,12.131715771230507,0,2,2,SF,POR
326,2010,Travis Outlaw,12.131715771230507,0,2,2,SF,LAC
327,2010,Trevor Ariza,10.95722703639515,0,0,3,SF,HOU
328,2010,Troy Murphy,0.3745407279029463,1,0,3,PF,IND
329,2010,Ty Lawson,2.6803466204506066,0,2,0,PG,DEN
330,2010,Tyler Hansbrough,3.463778162911612,1,2,2,PF,IND
331,2010,Tyreke Evans,6.726031195840554,0,3,0,SG,SAC
332,2010,Tyrus Thomas,11.458526863084922,1,2,2,PF-C,TOT
333,2010,Tyrus Thomas,11.458526863084922,1,2,2,PF,CHI
334,2010,Tyrus Thomas,11.458526863084922,1,2,2,C,CHA
335,2010,Vince Carter,30.368067590987874,0,0,3,SG,ORL
336,2010,Vladimir Radmanovic,11.930329289428075,1,1,2,PF,TOT
337,2010,Vladimir Radmanovic,11.930329289428075,1,1,2,PF,CHA
