Year,Team,Notes,Name,Injury Class
2010,Jazz,strained right abductor (DNP),Raja Bell,DNP
2010,Nets,surgery to insert screw to repair broken right foot (out indefinitely),Damion James,out indefinitely
2010,Kings,left foot injury (DTD),Tyreke Evans,DTD
2010,Magic,sprained left knee (DNP),Mickael Pietrus,DNP
2010,Magic,sore left elbow (DNP),Quentin Richardson,DNP
2010,Nuggets,sprained right wrist (DNP),Chauncey Billups,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Bucks,back spasms (DNP),John Salmons,DNP
2010,Bulls,torn ligament in right thumb (out indefinitely),Joakim Noah,out indefinitely
2010,Celtics,sore right calf (DNP),Shaquille O'Neal,DNP
2010,Raptors,sore left knee (DNP),Andrea Bargnani,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Wizards,sprained right knee (out indefinitely),Yi Jianlian,out indefinitely
2010,Bulls,surgery on right thumb to repair torn ligament (out indefinitely),Joakim Noah,out indefinitely
2010,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010,Celtics,sore right calf (DNP),Shaquille O'Neal,DNP
2010,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2010,Nuggets,torn ligament in right wrist (DNP),Chauncey Billups,DNP
2010,Rockets,stress fracture in left ankle (out for season),Yao Ming,out for season
2010,Spurs,strained right adductor (DTD),Tiago Splitter,DTD
2010,Wizards,right knee tendinitis (DNP),John Wallace,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Raptors,sore lower back (DNP),Sonny Weems,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Blazers,sore right shoulder (DNP),Marcus Camby,DNP
2010,Blazers,sore right shoulder (DNP),Nicolas Batum,DNP
2010,Nuggets,torn ligament in right wrist (DNP),Chauncey Billups,DNP
2010,Spurs,sprained right big toe (DNP),George Hill,DNP
2010,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010,Pistons,upset stomach (DNP),Richard Hamilton,DNP
2010,Pistons,sore left big toe (DNP),Rodney Stuckey,DNP
2010,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2010,Raptors,back spasms (DNP),Sonny Weems,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Blazers,strained right shoulder (DNP),Marcus Camby,DNP
2010,Clippers,back injury (out indefinitely),Craig Smith,out indefinitely
2010,Spurs,sprained right big toe (DNP),George Hill,DNP
2010,Warriors,strained left groin (DNP),Dan Gadzuric,DNP
2010,Bucks,concussion (DNP),Carlos Delfino,DNP
2010,Bucks,concussion (DNP),Carlos Delfino,DNP
2010,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010,Magic,sprained left ankle (DNP),Malik Allen,DNP
2010,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010,Warriors,strained left groin (DNP),Dan Gadzuric,DNP
2010,Celtics,sprained left ankle (DNP),Rajon Rondo,DNP
2010,Nets,bruised lower back (DNP),Quinton Ross,DNP
2010,Raptors,food poisoning (DNP),Jerryd Bayless,DNP
2010,Raptors,back spasms (DNP),Sonny Weems,DNP
2010,Spurs,sprained right big toe (DNP),George Hill,DNP
2010,Bucks,concussion (DNP),Carlos Delfino,DNP
2010,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010,Magic,arthroscopic surgery on left knee (out for season),Daniel Orton,out for season
2010,Spurs,sprained right big toe (DNP),George Hill,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Celtics,stomach virus (DTD),Semih Erden,DTD
2010,Magic,sore left foot (DNP),Jason Williams,DNP
2010,76ers,right Achilles tendinitis (DNP),Andre Iguodala,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Bucks,sore left foot (DNP),Drew Gooden,DNP
2010,Magic,sore left foot (DNP),Jason Williams,DNP
2010,Raptors,back spasms (DNP),Sonny Weems,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Blazers,sprained right ankle (P) / left ankle (CBC) (DNP),Marcus Camby,DNP
2010,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
