Year,Team,Notes,Name,Injury Class
2013,Pacers,sore left hip (DNP),George Hill,DNP
2013,Suns,left ankle injury (DNP),Alex Len,DNP
2013,Suns,sprained left ankle (DNP),Goran Dragic,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,Bucks,strained right hamstring (DNP),Brandon Knight,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,sprained right thumb (DNP),Larry Sanders,DNP
2013,Clippers,thigh injury (DNP),Matt Barnes,DNP
2013,Jazz,recovering from surgery on right heel and Achilles tendon (DNP),Marvin Williams,DNP
2013,Knicks,fractured right fibula (out indefinitely),Tyson Chandler,out indefinitely
2013,Magic,sprained right ankle (DNP),Doron Lamb,DNP
2013,Magic,torn lateral meniscus in left knee (DNP),Solomon Jones,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Pacers,sore left hip (DNP),George Hill,DNP
2013,Suns,left ankle injury (DNP),Alex Len,DNP
2013,Suns,sprained left ankle (DNP),Goran Dragic,DNP
2013,Wizards,finger injury (DNP),Trevor Booker,DNP
2013,Clippers,thigh injury (DNP),Matt Barnes,DNP
2013,Hawks,strained right rotator cuff (DNP),Gustavo Ayon,DNP
2013,Nuggets,sprained left ankle (DNP),Anthony Randolph,DNP
2013,76ers,sore right knee (DNP),Daniel Orton,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,Bobcats,head coach underwent heart procedure (out indefinitely),Steve Clifford,out indefinitely
2013,Lakers,rest (DNP),Steve Nash,DNP
2013,Magic,sprained right ankle (DNP),Doron Lamb,DNP
2013,Magic,torn lateral meniscus in left knee (DNP),Solomon Jones,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Suns,left ankle injury (DNP),Alex Len,DNP
2013,Suns,sprained left ankle (DNP),Goran Dragic,DNP
2013,Timberwolves,back spasms (DNP),Derrick Williams,DNP
2013,Warriors,bruised/sprained left ankle (DNP),Stephen Curry,DNP
2013,Wizards,finger injury (DNP),Trevor Booker,DNP
2013,76ers,sore right knee (DNP),Daniel Orton,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,sprained right thumb (DNP),Larry Sanders,DNP
2013,Clippers,thigh injury (DNP),Matt Barnes,DNP
2013,Grizzlies,sprained right knee (DNP),Jerryd Bayless,DNP
2013,Magic,sprained right ankle (DNP),Doron Lamb,DNP
2013,Magic,torn lateral meniscus in left knee (DNP),Solomon Jones,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Mavericks,DNP,Wayne Ellington,Other
2013,Nuggets,stress fracture in left tibia (out indefinitely),JaVale McGee,out indefinitely
2013,Suns,sore left ankle (DNP),Alex Len,DNP
2013,Wizards,finger injury (DNP),Trevor Booker,DNP
2013,76ers,sore right knee (DNP),Daniel Orton,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,Bobcats,head coach returned to team,Steve Clifford,Other
2013,Bucks,surgery on right thumb to repaor torn ligament (out indefinitely),Larry Sanders,out indefinitely
2013,Grizzlies,sprained right knee (DNP),Jerryd Bayless,DNP
2013,Lakers,nerve irritation in back (out indefinitely),Steve Nash,out indefinitely
2013,Magic,sprained right ankle (DNP),Doron Lamb,DNP
2013,Magic,torn lateral meniscus in left knee (DNP),Solomon Jones,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Rockets,flu (DNP),Francisco Garcia,DNP
2013,Rockets,flu (DNP),Greg Smith,DNP
2013,Spurs,rest (DNP),Tim Duncan,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,recovering from surgery on right thumb to repaor torn ligament (DNP),Larry Sanders,DNP
2013,Mavericks,bruised right thigh (DNP),Wayne Ellington,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,76ers,bruised left foot (DNP),Michael Carter-Williams,DNP
2013,Bucks,sore/strained right hamstring (DNP),Brandon Knight,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,sore left foot (DNP),Gary Neal,DNP
2013,Bucks,recovering from surgery on right thumb to repaor torn ligament (DNP),Larry Sanders,DNP
2013,Bucks,sore right foot (DNP),Zaur Pachulia,DNP
2013,Celtics,bruised right knee (DNP),Jared Sullinger,DNP
2013,Grizzlies,fractured nose (DNP),Quincy Pondexter,DNP
2013,Magic,torn lateral meniscus in left knee (DNP),Solomon Jones,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Pelicans,sprained MCL in left knee (DTD),Greg Stiemsma,DTD
2013,Rockets,flu (DNP),Greg Smith,DNP
2013,Rockets,bruised left foot (DNP),James Harden,DNP
2013,Suns,sore left ankle (DNP),Alex Len,DNP
2013,Timberwolves,flu (DNP),Kevin Martin,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,76ers,bruised left foot (DNP),Michael Carter-Williams,DNP
2013,Bucks,sprained left shoulder (DNP),Caron Butler,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bulls,sore hamstring (DNP),Derrick Rose,DNP
2013,Heat,back spasms (DNP),Udonis Haslem,DNP
2013,Mavericks,bruised right thigh (DNP),Wayne Ellington,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Suns,sore left ankle (DNP),Alex Len,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,76ers,bruised left foot (DNP),Michael Carter-Williams,DNP
2013,Bucks,sprained left shoulder (DNP),Caron Butler,DNP
2013,Bucks,sore/aprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Celtics,sore right wrist (DNP),Courtney Lee,DNP
2013,Celtics,illness (DNP),Keith Bogans,DNP
2013,Heat,back spasms (DNP),Udonis Haslem,DNP
2013,Magic,sprained right ankle (DNP),Kyle O'Quinn,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Mavericks,bruised right thigh (DNP),Wayne Ellington,DNP
2013,Nets,sprained left ankle (DNP),Brook Lopez,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Rockets,illness (DNP),Omer Asik,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Wizards,sore right knee (DTD),Al Harrington,DTD
2013,Wizards,strained right hamstring (DNP),Trevor Ariza,DNP
2013,Kings,bruised left knee (DNP),Patrick Patterson,DNP
2013,76ers,strained right hamstring (DNP),Kwame Brown,DNP
2013,76ers,bruised left foot (DNP),Michael Carter-Williams,DNP
2013,Mavericks,bruised right thigh (DNP),Wayne Ellington,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Knicks,pinched nerve in left hip (DNP),Raymond Felton,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,strained right calf (DNP),Ronnie Brewer,DNP
2013,Suns,bruised shin (DNP),Eric Bledsoe,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Wizards,sore right knee (DNP),Al Harrington,DNP
2013,Wizards,strained right hamstring (DNP),Trevor Ariza,DNP
2013,Celtics,illness (DNP),Keith Bogans,DNP
2013,Clippers,bruised left eye (DNP),Matt Barnes,DNP
2013,Knicks,pinched nerve in left hip (DNP),Raymond Felton,DNP
2013,Magic,sprained right ankle (DNP),Kyle O'Quinn,DNP
2013,Magic,sprained left ankle (DNP),Tobias Harris,DNP
2013,Mavericks,bruised right thigh (DNP),Wayne Ellington,DNP
2013,Pistons,sore back (DNP),Charlie Villanueva,DNP
2013,Raptors,sprained right ankle (DNP),Quincy Acy,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,strained right calf (DNP),Ronnie Brewer,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Wizards,strained right hamstring (DNP),Trevor Ariza,DNP
2013,Clippers,bruised left eye (DNP),Matt Barnes,DNP
2013,Clippers,surgery on left eye to repair torn retina (out indefinitely),Matt Barnes,out indefinitely
2013,Bucks,sore right hamstring (DNP),Brandon Knight,DNP
2013,Celtics,illness (DNP),Keith Bogans,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,knee injury (DTD),Jason Terry,DTD
2013,Pacers,upper respiratory infection (DNP),Charles Watson,DNP
2013,Pistons,sore back (DNP),Charlie Villanueva,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Warriors,fractured right hand (DNP),Ognjen Kuzmic,DNP
2013,Wizards,strained right hamstring (DNP),Trevor Ariza,DNP
2013,76ers,sore left knee (DNP),Spencer Hawes,DNP
2013,76ers,strained lower back (DNP),Tony Wroten,DNP
2013,Bulls,torn meniscus in right knee (out for season),Derrick Rose,out for season
2013,Celtics,illness (DNP),Keith Bogans,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Grizzlies,sprained MCL in left knee (out indefinitely),Marc Gasol,out indefinitely
2013,Knicks,pinched nerve in left hip (DNP),Raymond Felton,DNP
2013,Magic,sprained right ankle (DNP),Kyle O'Quinn,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sore left foot (DNP),James Harden,DNP
2013,Rockets,strained right calf (DNP),Ronnie Brewer,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Wizards,sore right knee (DNP),Al Harrington,DNP
2013,Wizards,strained right hamstring (DNP),Trevor Ariza,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Bulls,surgery on right knee to repair torn meniscus (out for season),Derrick Rose,out for season
2013,Celtics,illness (DNP),Keith Bogans,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Knicks,pinched nerve in left hip (DNP),Raymond Felton,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sore left foot (DNP),James Harden,DNP
2013,Rockets,strained right calf (DNP),Ronnie Brewer,DNP
2013,Timberwolves,sprained right ankle (DNP),Shabazz Muhammad,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,bruised left knee (DNP),Jason Terry,DNP
2013,Wizards,sore right knee (DNP),Al Harrington,DNP
2013,76ers,sore left knee (DNP),Spencer Hawes,DNP
2013,76ers,strained lower back (DNP),Tony Wroten,DNP
2013,Bucks,illness (DNP),Nate Wolters,DNP
2013,Cavaliers,sprained right ankle (DNP),Tyler Zeller,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Hawks,bruised ribs (DNP),Kyle Korver,DNP
2013,Hawks,sprained left ankle (DNP),Shelvin Mack,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sore left foot (DNP),James Harden,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Celtics,sore/sprained left knee (DNP),Courtney Lee,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Clippers,strained right hamstring (DNP),Chris Paul,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Magic,sprained left foot (DNP),Jameer Nelson,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,rest (DNP),Kevin Garnett,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Suns,sore left ankle (DNP),Alex Len,DNP
2013,Suns,returned to lineup,Eric Bledsoe,returned to lineup
2013,Wizards,sore right Achilles (DNP),Nene,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,sore left hamstring (DNP),Ersan Ilyasova,DNP
2013,Celtics,sore left knee (DNP),Courtney Lee,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Grizzlies,ingrown toenail (DNP),Zach Randolph,DNP
2013,Hawks,recovering from surgery on right knee (DNP),Louis Williams,DNP
2013,Jazz,sprained left ankle (out indefinitely),Andris Biedrins,out indefinitely
2013,Mavericks,bone bruise in right ankle (DNP),Jose Calderon,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,bruised right hand (DNP),Paul Pierce,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Timberwolves,DNP,Shabazz Muhammad,Other
2013,Wizards,sore right knee (DNP),Al Harrington,DNP
2013,Clippers,fractured right hand (DNP),Jonathan Redick,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Lakers,sore back (DNP),Chris Kaman,DNP
2013,Pelicans,fractured left hand (out indefinitely),Anthony Davis,out indefinitely
2013,Lakers,torn left hamstring (out indefinitely),Jordan Farmar,out indefinitely
2013,Magic,sprained left foot (DNP),Jameer Nelson,DNP
2013,Rockets,sore back / back spasms (DNP),Chandler Parsons,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Grizzlies,ingrown toenail (DNP),Zach Randolph,DNP
2013,Heat,knee injury (DTD),Dwyane Wade,DTD
2013,Magic,sprained left foot (DNP),Jameer Nelson,DNP
2013,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,fractured right hand (DNP),Paul Pierce,DNP
2013,Bobcats,fractured left hand (out indefinitely),Michael Kidd-Gilchrist,out indefinitely
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Clippers,fractured right hand (DNP),Jonathan Redick,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Rockets,sore back (DNP),Chandler Parsons,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Bulls,right knee injury (DNP),Mike Lamont,DNP
2013,Clippers,fractured right hand (DNP),Jonathan Redick,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Grizzlies,hip injury (DNP),Tony Allen,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,fractured right hand (DNP),Paul Pierce,DNP
2013,76ers,sore right knee (DNP),Michael Carter-Williams,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,sprained (P) / fractured (CBC) right foot (DNP),Zaur Pachulia,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Knicks,resting knee injury (DNP),Amare Stoudemire,DNP
2013,Lakers,back spasms (DNP),Chris Kaman,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Wizards,sore right knee (DNP),Al Harrington,DNP
2013,76ers,sore right knee (DNP),Michael Carter-Williams,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,sprained right foot (P) (DNP),Zaur Pachulia,DNP
2013,Bulls,left calf injury (DNP),Luol Deng,DNP
2013,Bulls,right knee injury (DNP),Mike Lamont,DNP
2013,Clippers,fractured right hand (DNP),Jonathan Redick,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Grizzlies,sprained right ankle (DNP),Ed Davis,DNP
2013,Grizzlies,hip injury (DNP),Tony Allen,DNP
2013,Nets,sprained left ankle (DNP),Deron Williams,DNP
2013,Nets,fractured right hand (DNP),Paul Pierce,DNP
2013,Nuggets,strained left hamstring (DNP),Ty Lawson,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Knicks,sore left ankle (DNP),Kenyon Martin,DNP
2013,Lakers,back spasms (DNP),Chris Kaman,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2013,Pistons,sore left knee (DNP),Rodney Stuckey,DNP
2013,Raptors,DNP,Quincy Acy,Other
2013,Raptors,DNP,Rudy Gay,Other
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained right knee (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,76ers,back injury (DNP),Elliot Williams,DNP
2013,76ers,sore right knee (DNP),Michael Carter-Williams,DNP
2013,Bobcats,sprained right ankle (DNP),Bismack Biyombo,DNP
2013,Bobcats,bruised left heel (DNP),Jeffery Taylor,DNP
2013,Bucks,fractured right foot (out indefinitely),Zaur Pachulia,out indefinitely
2013,Clippers,fractured right hand (DNP),Jonathan Redick,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Clippers,sprained left ankle (DTD),Reggie Bullock,DTD
2013,Grizzlies,sprained left /right (CBC) ankle (DNP),Ed Davis,DNP
2013,Grizzlies,stress fracture in right foot (DNP),Quincy Pondexter,DNP
2013,Grizzlies,hip injury (DNP),Tony Allen,DNP
2013,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2013,Nuggets,strained left hamstring (DNP),Ty Lawson,DNP
2013,Pelicans,sprained left ankle (out indefinitely),Tyreke Evans,out indefinitely
2013,Wizards,left ankle injury (DNP),Martell Webster,DNP
2013,Wizards,right foot injury (DTD),Nene,DTD
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,plantar faciitis in left foot (DNP),Gary Neal,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,bruised right thigh (DNP),Joakim Noah,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Hawks,sprained left ankle (DTD),Gustavo Ayon,DTD
2013,Knicks,sore left ankle (DNP),Kenyon Martin,DNP
2013,Lakers,back spasms (DNP),Chris Kaman,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,76ers,skin infection (DNP),Michael Carter-Williams,DNP
2013,Bobcats,sprained right ankle (DNP),Bismack Biyombo,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,plantar faciitis in left foot (DNP),Gary Neal,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Celtics,sprained right ankle (DNP),Kelly Olynyk,DNP
2013,Celtics,bruised right knee (DNP),Kris Humphries,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Clippers,sprained left ankle (DNP),Reggie Bullock,DNP
2013,Grizzlies,sprained left /right (CBC) ankle (DNP),Ed Davis,DNP
2013,Grizzlies,stress fracture in right foot (DNP),Quincy Pondexter,DNP
2013,Grizzlies,hip injury (DNP),Tony Allen,DNP
2013,Kings,DNP,Aaron Gray,Other
2013,Kings,DNP,Quincy Acy,Other
2013,Kings,DNP,Rudy Gay,Other
2013,Knicks,sore left hamstring (DNP),Raymond Felton,DNP
2013,Warriors,sprained right wrist (DNP),Jermaine O'Neal,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Lakers,torn ligament in right elbow (out indefinitely),Steve Blake,out indefinitely
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,76ers,skin infection (DNP),Michael Carter-Williams,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Bulls,right knee injury (DNP),Mike Lamont,DNP
2013,Celtics,bruised right knee (DNP),Kris Humphries,DNP
2013,Grizzlies,stress fracture in right foot (DNP),Quincy Pondexter,DNP
2013,Knicks,sore left hamstring (DNP),Raymond Felton,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Nets,sprained left ankle (DNP),Brook Lopez,DNP
2013,Raptors,strained neck (DNP),Landry Fields,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Spurs,left ankle injury (DNP),Aron Baynes,DNP
2013,Wizards,right foot tendinitis (DNP),Nene,DNP
2013,Warriors,arthroscopic surgery on right wrist to repair torn ligament (out indefinitely),Jermaine O'Neal,out indefinitely
2013,76ers,skin infection (DNP),Michael Carter-Williams,DNP
2013,Bucks,surgery on right foot (out for season),Carlos Delfino,out for season
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,strained back (DNP),Kirk Hinrich,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Knicks,strained abdominal muscle (DNP),Kenyon Martin,DNP
2013,Knicks,strained left hamstring (DNP),Raymond Felton,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Wizards,right foot tendinitis (DNP),Nene,DNP
2013,Grizzlies,stress fracture in right foot (DNP),Quincy Pondexter,DNP
2013,Pelicans,sprained left ankle (DNP),Tyreke Evans,DNP
2013,Rockets,sprained right knee (P) / back injury (CBC) (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,76ers,skin infection (DNP),Michael Carter-Williams,DNP
2013,Bulls,sore back (DNP),Kirk Hinrich,DNP
2013,Clippers,recovering from surgery on left eye (DNP),Matt Barnes,DNP
2013,Knicks,strained abdominal muscle (DNP),Kenyon Martin,DNP
2013,Knicks,fractured right toe (out indefinitely),Pablo Prigioni,out indefinitely
2013,Knicks,strained left hamstring (DNP),Raymond Felton,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Nets,sprained left ankle (DNP),Brook Lopez,DNP
2013,Timberwolves,sore left knee (DNP),Kevin Martin,DNP
2013,Grizzlies,bruised left thigh (DNP),Mike Conley,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Pelicans,sprained left ankle (DNP),Tyreke Evans,DNP
2013,Bucks,sore left knee (DNP),Caron Butler,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,sore back (DNP),Kirk Hinrich,DNP
2013,Clippers,sprained left ankle (DNP),Reggie Bullock,DNP
2013,Grizzlies,bruised left thigh (DNP),Mike Conley,DNP
2013,Grizzlies,sore left knee (DNP),Tayshaun Prince,DNP
2013,Hawks,sprained left ankle (DNP),Cartier Martin,DNP
2013,Knicks,strained abdominal muscle (DNP),Kenyon Martin,DNP
2013,Knicks,strained left hamstring (DNP),Raymond Felton,DNP
2013,Rockets,bruised right thigh / back spasms (DNP),Jeremy Lin,DNP
2013,Wizards,surgery on fractured right wrist,Glen Rice,Other
2013,Bulls,sore back (DNP),Kirk Hinrich,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Lakers,fractured left tibia (out for season),Kobe Bryant,out for season
2013,Spurs,rest (DNP),Emanuel Ginobili,DNP
2013,76ers,back injury (DNP),Elliot Williams,DNP
2013,Bucks,sore left knee / sore right knee (P) (DNP),Caron Butler,DNP
2013,Bucks,sprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Cavaliers,illness (DTD),Anthony Bennett,DTD
2013,Cavaliers,right wrist injury (DTD),Dion Waiters,DTD
2013,Cavaliers,sprained right ankle (DNP),Tyler Zeller,DNP
2013,Hawks,sprained left ankle (DNP),Cartier Martin,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Nets,rest (DNP),Kevin Garnett,DNP
2013,Rockets,back spasms (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2013,Bucks,sprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Bucks,knee injury (DNP),John Henson,DNP
2013,Bucks,fractured right foot (DNP),Zaur Pachulia,DNP
2013,Bulls,sprained right ankle (DNP),Jimmy Butler,DNP
2013,Bulls,sore back (DNP),Kirk Hinrich,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Grizzlies,sore left knee (DNP),Tayshaun Prince,DNP
2013,Knicks,sore left knee (DNP),Metta Peace,DNP
2013,Knicks,strained left hamstring (DNP),Raymond Felton,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,upper respiratory infection (DNP),Pau Gasol,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Nets,fractured right foot (out for season),Brook Lopez,out for season
2013,Pelicans,bruised right knee (DTD),Jason Smith,DTD
2013,Rockets,sprained left ankle (DNP),James Harden,DNP
2013,Rockets,back spasms (DNP),Jeremy Lin,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Rockets,fractured right hand (out indefinitely),Patrick Beverley,out indefinitely
2013,Spurs,dental procedure (DNP),Kawhi Leonard,DNP
2013,Clippers,sprained left ankle (DNP),Reggie Bullock,DNP
2013,Bucks,sprained right ankle (DNP),Ersan Ilyasova,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Grizzlies,sore left knee (DNP),Tayshaun Prince,DNP
2013,Knicks,sore left knee (DNP),Metta Peace,DNP
2013,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Nuggets,sprained left ankle (DNP),Kenneth Faried,DNP
2013,Rockets,sore right knee (DNP),Greg Smith,DNP
2013,Rockets,sprained left ankle (DNP),James Harden,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Clippers,sprained left ankle (DNP),Reggie Bullock,DNP
2013,Knicks,sprained left ankle (DNP),Carmelo Anthony,DNP
2013,Knicks,sore left knee (DNP),Metta Peace,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
